Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id
0,1,0,0,0,0,9199200
0,1,0,0,0,0,9199212
0,0,0,1,0,0,9199705
0,1,0,0,0,0,9199889
0,1,0,0,0,0,9199956
0,1,0,0,0,0,9200236
0,1,0,0,0,0,9200244
0,1,0,0,0,0,9200302
0,1,0,0,0,0,9200336
0,1,0,0,0,0,9200337
0,0,0,1,0,0,9200451
0,0,0,1,0,0,9200465
1,0,0,0,0,0,9200621
0,0,0,1,0,0,9200622
0,0,1,0,0,0,9200634
0,0,0,1,0,0,9200767
0,0,0,1,0,0,9200799
0,0,0,1,0,0,9200810
0,0,0,1,0,0,9200817
0,0,0,1,0,0,9200818
0,0,1,0,0,0,9200819
0,0,0,1,0,0,9200821
0,0,0,1,0,0,9201455
0,0,0,1,0,0,9201987
0,0,0,1,0,0,9202396
0,0,0,1,0,0,9202635
0,0,0,1,0,0,9202636
0,0,0,1,0,0,9202734
0,0,0,1,0,0,9202943
0,0,0,1,0,0,9202948
0,0,0,1,0,0,9202953
0,0,0,1,0,0,9202956
0,0,0,1,0,0,9202960
0,0,0,1,0,0,9202965
0,0,0,1,0,0,9203030
0,0,0,1,0,1,9203257
0,1,0,0,0,0,9204596
0,0,0,1,0,0,9204598
0,1,0,0,0,0,9205040
0,1,0,0,0,0,9206145
0,1,0,0,0,0,9206147
0,0,0,1,0,0,9206295
0,0,0,1,0,0,9206339
0,1,0,0,0,0,9206357
0,1,0,0,0,0,9206360
0,1,0,0,0,0,9206365
0,1,0,0,0,0,9206368
0,1,0,0,0,0,9206413
0,1,0,0,0,0,9206434
0,1,0,0,0,0,9206444
0,1,0,0,0,0,9206446
0,1,0,0,0,0,9206448
1,1,0,0,0,0,9206451
0,1,0,0,0,0,9206453
0,1,0,0,0,0,9206680
0,0,0,1,0,0,9206952
0,0,0,1,0,0,9206969
0,0,0,1,0,0,9206997
0,0,0,1,0,0,9207003
0,0,1,0,0,0,9207021
0,0,0,1,0,0,9207700
1,0,0,0,0,0,9207735
1,0,0,0,0,0,9207993
0,0,0,1,0,0,9208955
0,0,0,1,0,0,9208956
0,0,0,1,0,0,9209321
0,0,0,1,0,0,9209323
0,0,0,1,0,0,9209325
0,0,0,1,0,0,9209326
0,0,0,1,0,0,9209332
0,0,0,1,0,0,9209333
0,0,0,1,0,0,9209334
0,0,0,1,0,0,9209335
0,0,0,1,0,0,9209340
0,0,0,1,0,0,9209341
0,0,0,1,0,0,9209343
0,0,0,1,0,0,9209347
0,0,0,1,0,0,9209405
0,0,0,1,0,0,9209412
0,0,1,0,0,0,9209495
0,0,0,1,0,0,9209626
1,0,0,1,0,0,9209648
0,0,0,1,0,0,9209649
1,0,0,1,0,0,9209650
1,0,0,0,0,0,9209710
0,0,1,0,0,0,9209766
0,0,0,1,0,0,9210220
0,0,0,1,0,0,9211484
0,1,0,0,0,0,9211515
0,1,0,0,0,0,9212104
0,0,0,1,0,0,9212244
0,1,0,0,0,0,9212313
0,1,0,0,0,0,9212314
0,1,0,0,0,0,9212315
0,1,0,0,0,0,9212316
0,1,0,0,0,0,9212317
0,1,0,0,0,0,9212320
0,1,0,0,0,0,9212328
0,1,0,0,0,0,9212401
0,0,0,0,1,0,9212649
0,0,0,1,0,0,9212829
0,0,0,1,0,0,9214255
