Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id
False,True,False,False,False,False,9199200
False,True,False,False,False,False,9199212
False,False,False,True,False,False,9199705
False,True,False,False,False,False,9199889
False,True,False,False,False,False,9199956
False,True,False,False,False,False,9200236
False,True,False,False,False,False,9200244
False,True,False,False,False,False,9200302
False,True,False,False,False,False,9200336
False,True,False,False,False,False,9200337
False,False,False,True,False,False,9200451
False,False,False,True,False,False,9200465
True,False,False,False,False,False,9200621
False,False,False,True,False,False,9200622
False,False,True,False,False,False,9200634
False,False,False,True,False,False,9200767
False,False,False,True,False,False,9200799
False,False,False,True,False,False,9200810
False,False,False,True,False,False,9200817
False,False,False,True,False,False,9200818
False,False,True,False,False,False,9200819
False,False,False,True,False,False,9200821
False,False,False,True,False,False,9201455
False,False,False,True,False,False,9201987
False,False,False,True,False,False,9202396
False,False,False,True,False,False,9202635
False,False,False,True,False,False,9202636
False,False,False,True,False,False,9202734
False,False,False,True,False,False,9202943
False,False,False,True,False,False,9202948
False,False,False,True,False,False,9202953
False,False,False,True,False,False,9202956
False,False,False,True,False,False,9202960
False,False,False,True,False,False,9202965
False,False,False,True,False,False,9203030
False,False,False,True,False,True,9203257
False,True,False,False,False,False,9204596
False,False,False,True,False,False,9204598
False,True,False,False,False,False,9205040
False,True,False,False,False,False,9206145
False,True,False,False,False,False,9206147
False,False,False,True,False,False,9206295
False,False,False,True,False,False,9206339
False,True,False,False,False,False,9206357
False,True,False,False,False,False,9206360
False,True,False,False,False,False,9206365
False,True,False,False,False,False,9206368
False,True,False,False,False,False,9206413
False,True,False,False,False,False,9206434
False,True,False,False,False,False,9206444
False,True,False,False,False,False,9206446
False,True,False,False,False,False,9206448
True,True,False,False,False,False,9206451
False,True,False,False,False,False,9206453
False,True,False,False,False,False,9206680
False,False,False,True,False,False,9206952
False,False,False,True,False,False,9206969
False,False,False,True,False,False,9206997
False,False,False,True,False,False,9207003
False,False,True,False,False,False,9207021
False,False,False,True,False,False,9207700
True,False,False,False,False,False,9207735
True,False,False,False,False,False,9207993
False,False,False,True,False,False,9208955
False,False,False,True,False,False,9208956
False,False,False,True,False,False,9209321
False,False,False,True,False,False,9209323
False,False,False,True,False,False,9209325
False,False,False,True,False,False,9209326
False,False,False,True,False,False,9209332
False,False,False,True,False,False,9209333
False,False,False,True,False,False,9209334
False,False,False,True,False,False,9209335
False,False,False,True,False,False,9209340
False,False,False,True,False,False,9209341
False,False,False,True,False,False,9209343
False,False,False,True,False,False,9209347
False,False,False,True,False,False,9209405
False,False,False,True,False,False,9209412
