Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id
False,False,False,False,True,False,3931598
False,False,False,True,False,False,3931806
False,False,False,True,True,False,3933323
False,False,False,True,False,False,3933628
False,False,False,False,True,False,3934106
False,False,False,True,False,False,3934323
False,False,False,True,False,False,3934573
False,False,False,True,False,False,3935031
False,False,True,False,False,False,3935102
False,False,False,True,False,False,3935897
False,False,False,True,False,False,3936319
False,False,True,True,False,False,3936652
False,False,False,True,False,False,3937209
False,False,False,True,False,False,3937599
False,False,True,False,False,False,3938334
False,False,True,False,False,False,3938335
False,True,False,False,False,False,3939281
False,False,True,False,False,False,3939659
False,False,False,False,True,False,3939706
False,False,False,True,False,False,3939818
False,False,False,True,False,False,3939819
False,False,False,True,False,False,3940859
False,True,False,False,False,False,3941691
False,False,True,False,False,False,3942101
False,False,False,True,False,False,3943003
False,True,False,False,False,False,3943055
False,False,True,False,False,False,3943436
False,False,False,True,False,False,3943726
False,False,False,True,False,False,3943911
False,False,False,False,True,False,3944910
False,False,False,True,False,False,3945059
False,False,True,False,False,False,3945218
False,False,False,False,True,False,3946188
False,False,False,False,True,False,3946308
False,False,False,True,False,False,3946333
False,False,False,True,False,False,3946720
False,False,False,True,False,False,3946721
False,False,False,True,False,False,3946944
False,False,False,True,False,False,3948247
False,False,False,True,False,False,3948313
False,False,False,True,False,False,3949095
False,False,False,True,False,False,3949463
False,False,False,True,False,False,3949732
False,False,False,True,False,False,3950862
False,False,False,True,False,False,3951128
False,False,False,True,False,False,3951129
False,False,True,False,False,False,3951794
False,False,False,False,True,False,3952269
False,False,False,True,False,False,3952324
False,False,False,True,False,False,3952724
False,False,False,True,False,False,3952725
False,False,False,True,False,False,3953876
False,False,True,False,False,False,3953971
False,False,True,False,False,False,3953972
False,False,False,True,False,False,3954097
False,False,False,True,False,False,3955554
False,False,False,True,False,False,3956017
False,False,False,True,False,False,3956559
False,False,False,True,False,False,3956687
False,False,False,True,False,False,3956765
False,False,False,True,False,False,3957029
False,False,False,True,False,False,3957030
False,False,True,False,False,False,3957108
