Biosensor 2 Term,Biosensor Term,Micro Term,Molecular Motor Term,Nano Term,Quantum Term,Quasi Term,Self Term,exclusion,id,measure_exclusion,selection
0,0,1,0,0,0,0,0,0,3930295,0.0,1.0
0,0,1,0,0,0,0,0,0,3930398,0.0,1.0
0,0,1,0,0,0,0,0,0,3930896,0.0,1.0
0,0,1,0,0,0,0,0,0,3930906,0.0,1.0
0,1,0,0,0,0,0,0,0,3930912,0.0,1.0
0,0,1,0,0,0,0,0,0,3930914,0.0,1.0
0,0,1,0,0,0,0,0,0,3930923,0.0,1.0
0,0,1,0,0,0,0,0,0,3931027,0.0,1.0
0,0,1,0,0,0,0,0,0,3931087,0.0,1.0
0,1,0,0,0,0,0,0,0,3931115,0.0,1.0
0,0,1,0,0,0,0,0,0,3931119,0.0,1.0
0,0,1,0,0,0,0,0,0,3931131,0.0,1.0
0,1,1,0,0,0,0,0,0,3931271,0.0,1.0
0,0,1,0,0,0,0,0,0,3931420,0.0,1.0
0,0,1,0,0,0,0,0,0,3931446,0.0,1.0
0,0,1,0,0,0,0,0,0,3931496,0.0,1.0
0,0,1,0,0,0,0,0,0,3931539,0.0,1.0
0,0,1,0,0,0,0,0,0,3931632,0.0,1.0
0,0,1,0,0,0,0,0,0,3931633,0.0,1.0
0,0,1,0,0,0,0,0,0,3932103,0.0,1.0
0,0,1,0,0,0,0,0,0,3932237,0.0,1.0
0,0,1,0,0,0,0,0,0,3932312,0.0,1.0
0,1,0,0,0,0,0,0,0,3932356,0.0,1.0
0,1,1,0,0,0,0,0,0,3932365,0.0,1.0
0,1,0,0,0,0,0,0,0,3932560,0.0,1.0
0,1,1,0,0,0,0,0,0,3932589,0.0,1.0
0,0,1,0,0,0,0,0,0,3932689,0.0,1.0
0,0,1,0,0,0,0,0,0,3932862,0.0,1.0
0,0,1,0,0,0,0,0,0,3932880,0.0,1.0
0,0,1,0,0,0,0,0,0,3932882,0.0,1.0
0,1,1,0,0,0,0,0,0,3932927,0.0,1.0
0,0,1,0,0,0,0,0,0,3933045,0.0,1.0
0,0,1,0,0,0,0,0,0,3933323,0.0,1.0
0,0,1,0,0,0,0,0,0,3933415,0.0,1.0
0,1,0,0,0,0,0,0,0,3933492,0.0,1.0
0,0,1,0,0,0,0,0,0,3933495,0.0,1.0
0,0,1,0,0,0,0,0,0,3933532,0.0,1.0
0,1,1,0,0,0,0,0,0,3933538,0.0,1.0
0,0,1,0,0,0,0,0,0,3933540,0.0,1.0
0,0,1,0,0,0,0,0,0,3933541,0.0,1.0
0,0,1,0,0,0,0,0,0,3933547,0.0,1.0
0,0,1,0,0,0,0,0,0,3933548,0.0,1.0
0,0,1,0,0,0,0,0,0,3933559,0.0,1.0
0,0,1,0,0,0,0,0,0,3933612,0.0,1.0
0,0,1,0,0,0,0,0,0,3933660,0.0,1.0
0,1,1,0,0,0,0,0,0,3933756,0.0,1.0
0,1,0,0,0,0,0,0,0,3933759,0.0,1.0
0,0,1,0,0,0,0,0,0,3933958,0.0,1.0
0,0,1,0,0,0,0,0,0,3934063,0.0,1.0
0,0,1,0,0,0,0,0,0,3934159,0.0,1.0
0,0,1,0,0,0,0,0,0,3934233,0.0,1.0
0,0,1,0,0,0,0,0,0,3934596,0.0,1.0
0,0,1,0,0,0,0,0,0,3935042,0.0,1.0
0,1,1,0,0,0,0,0,0,3935294,0.0,1.0
0,1,0,0,0,0,0,0,0,3935303,0.0,1.0
0,0,1,0,0,0,0,0,0,3935333,0.0,1.0
0,0,1,0,0,0,0,0,0,3935348,0.0,1.0
0,0,1,0,0,0,0,0,0,3935446,0.0,1.0
0,0,1,0,0,0,0,0,0,3936159,0.0,1.0
0,0,1,0,0,0,0,0,0,3936178,0.0,1.0
0,1,0,0,0,0,0,0,0,3936409,0.0,1.0
0,0,1,0,0,0,0,0,0,3936543,0.0,1.0
0,0,1,0,0,0,0,0,0,3936547,0.0,1.0
