Biosensor 2 Term,Biosensor Term,Micro Term,Molecular Motor Term,Nano Term,Quantum Term,Quasi Term,Self Term,exclusion,id,measure_exclusion,selection
False,False,False,False,True,False,False,False,False,9198873,False,True
False,False,False,False,True,False,False,False,False,9198874,False,True
False,False,False,False,True,False,False,False,False,9198928,False,True
False,False,False,False,True,False,False,False,False,9198973,False,True
False,False,False,False,True,False,False,False,False,9198974,False,True
False,False,False,False,True,False,False,False,False,9198988,False,True
False,False,True,False,False,False,False,False,False,9199273,False,True
False,False,False,False,True,False,False,False,False,9199393,False,True
False,False,False,False,True,False,False,False,False,9199421,False,True
False,False,True,False,False,False,False,False,False,9199434,False,True
False,False,False,False,True,False,False,False,False,9199435,False,True
False,False,True,False,True,False,False,False,False,9199438,False,True
False,False,False,True,False,False,False,False,False,9199504,False,True
False,False,False,False,True,False,False,False,False,9199841,False,True
False,False,False,False,False,True,False,False,False,9199842,False,True
False,False,True,False,True,False,False,False,False,9199854,False,True
False,False,False,False,True,False,False,False,False,9199858,False,True
False,False,False,False,True,False,False,False,False,9199866,False,True
False,False,True,False,False,False,False,False,False,9199869,False,True
False,False,False,False,True,False,False,False,False,9200082,False,True
False,False,True,False,False,False,False,False,False,9200126,False,True
False,False,False,False,True,False,False,False,False,9200152,False,True
False,False,False,False,True,False,False,False,False,9200163,False,True
False,False,True,False,True,False,False,True,False,9200172,False,True
False,False,False,False,True,False,False,False,False,9200193,False,True
False,False,False,True,False,False,False,False,False,9200363,False,True
False,False,False,False,True,False,False,False,False,9200378,False,True
False,False,True,False,False,False,False,False,False,9200413,False,True
False,False,False,False,True,False,False,False,False,9200804,False,True
False,False,True,False,False,False,False,False,False,9200974,False,True
False,False,False,False,True,False,False,False,False,9201010,False,True
False,False,False,False,True,False,False,False,False,9201013,False,True
False,False,False,False,True,False,False,False,False,9201057,False,True
False,False,False,False,True,False,False,False,False,9201112,False,True
False,False,True,False,False,False,False,False,False,9201170,False,True
False,False,False,False,False,True,False,False,False,9201266,False,True
False,False,True,False,False,False,False,False,False,9201280,False,True
False,False,True,False,False,False,False,False,False,9201301,False,True
False,False,True,False,False,False,False,False,False,9201442,False,True
False,False,True,False,False,False,False,False,False,9201726,False,True
False,False,False,False,True,False,False,False,False,9201990,False,True
False,False,False,True,True,False,False,False,False,9202399,False,True
False,False,True,False,False,False,False,False,False,9202529,False,True
False,False,True,False,False,False,False,False,False,9202533,False,True
False,False,True,False,False,False,False,False,False,9202556,False,True
False,False,True,False,False,False,False,False,False,9202557,False,True
False,False,True,False,False,False,False,False,False,9202570,False,True
False,False,True,False,False,False,False,False,False,9202575,False,True
False,False,True,False,False,False,False,False,False,9202579,False,True
False,False,True,False,False,False,False,False,False,9202594,False,True
False,False,True,False,False,False,False,False,False,9202596,False,True
False,False,False,False,True,False,False,False,False,9202600,False,True
False,False,False,True,False,False,False,False,False,9202635,False,True
False,False,False,True,False,False,False,False,False,9202636,False,True
False,False,False,True,False,False,False,False,False,9202684,False,True
False,False,True,False,True,False,False,False,False,9202688,False,True
False,False,True,False,False,False,False,False,False,9202693,False,True
False,False,False,False,True,False,False,False,False,9202700,False,True
False,False,True,False,False,False,False,False,False,9202703,False,True
False,False,True,False,False,False,False,False,False,9202707,False,True
False,False,True,False,False,False,False,False,False,9202709,False,True
False,False,True,False,False,False,False,False,False,9202720,False,True
False,False,True,False,False,False,False,False,False,9202721,False,True
False,False,True,False,False,False,False,False,False,9202722,False,True
False,False,True,False,False,False,False,False,False,9202728,False,True
False,False,False,True,False,False,False,False,False,9202743,False,True
False,False,True,False,False,False,False,False,False,9202759,False,True
False,False,True,False,False,False,False,False,False,9202762,False,True
False,False,True,False,False,False,False,False,False,9202767,False,True
False,False,True,False,False,False,False,False,False,9202788,False,True
False,False,True,False,False,False,False,False,False,9202795,False,True
False,False,True,False,False,False,False,False,False,9202814,False,True
False,False,True,False,False,False,False,False,False,9202818,False,True
False,False,True,False,False,False,False,False,False,9202822,False,True
False,False,True,False,False,False,False,False,False,9202823,False,True
False,False,True,False,False,False,False,False,False,9202825,False,True
False,False,True,False,False,False,False,False,False,9202827,False,True
False,False,True,False,False,False,False,False,False,9202829,False,True
False,False,True,False,False,False,False,False,False,9202842,False,True
False,False,True,False,False,False,False,False,False,9202847,False,True
False,False,True,False,False,False,False,False,False,9202849,False,True
False,False,True,False,False,False,False,False,False,9202851,False,True
False,False,True,False,False,False,False,False,False,9202860,False,True
False,False,True,False,False,False,False,False,False,9202865,False,True
False,False,False,False,True,False,False,False,False,9202867,False,True
False,False,False,False,True,False,False,False,False,9202868,False,True
False,False,True,False,False,False,False,False,False,9202873,False,True
False,False,True,False,False,False,False,False,False,9202877,False,True
False,False,True,False,False,False,False,False,False,9202891,False,True
False,False,True,False,False,False,False,False,False,9202892,False,True
False,False,True,False,False,False,False,False,False,9202895,False,True
False,False,True,False,False,False,False,False,False,9202896,False,True
False,False,True,False,False,False,False,False,False,9202898,False,True
False,False,False,True,False,False,False,False,False,9202899,False,True
False,False,True,False,False,False,False,False,False,9202902,False,True
False,False,True,False,False,False,False,False,False,9202907,False,True
False,True,True,False,False,False,False,False,False,9202915,False,True
False,False,True,False,False,False,False,False,False,9202922,False,True
False,False,False,False,True,False,False,False,False,9202924,False,True
False,False,True,False,False,False,False,False,False,9202925,False,True
False,False,True,False,False,False,False,False,False,9202926,False,True
False,False,True,False,False,False,False,False,False,9202927,False,True
False,False,True,False,False,False,False,False,False,9202928,False,True
False,False,True,False,False,False,False,False,False,9202931,False,True
False,False,True,False,False,False,False,False,False,9202936,False,True
False,True,True,False,False,False,False,False,False,9202938,False,True
False,False,True,False,False,False,False,False,False,9202943,False,True
False,False,False,False,True,False,False,False,False,9202944,False,True
False,False,False,True,False,False,False,False,False,9202945,False,True
False,False,False,False,True,False,False,False,False,9202947,False,True
False,False,True,False,False,False,False,False,False,9202962,False,True
False,True,True,False,False,False,False,False,False,9202967,False,True
False,False,False,True,True,False,False,False,False,9202975,False,True
False,True,False,False,False,False,False,False,False,9202981,False,True
