"Company Name","Address","City","State","ZIP Code","Website","Company Description","Primary NAICS","NAICS 1","NAICS 2","NAICS 3","NAICS 4","Location Employee Size Actual","Location Sales Volume Actual","Type of Business"
"#N/A","4300 B St # 306","Anchorage","AK","99503","Countryfinancial.Com","Tom Downing is a COUNTRY Financial representative providing insurance and financial services for the communities in and around Anchorage, AK 99503","524210","523930","523930","524210","524210","00002","$364,000","Private"
"Crowley","170 E Van Horn Rd","Fairbanks","AK","99701","Crowleyfuels.Com","","424720","424720","","","","00023","$72,927,000","Private"
"Mutual Of America Life Ins Co","4300 Boniface Pkwy","Anchorage","AK","99504","Mutualofamerica.Com","","524210","524210","","","","00003","$546,000","Private"
"Wells Fargo Bank","620 Gaffney Rd","Fairbanks","AK","99701","Wellsfargo.Com","Wells Fargo and Company (NYSE: WFC) is a nationwide, diversified financial services company with 1.6 trillion dollars in assets. Founded in 1852, Wells Fargo provides banking, insurance, investments, mortgage, and consumer and commercial finance through more than 8,700 locations, more than 12,500 ATMs, online, wellsfargo.com, and mobile devices. Were headquartered in San Francisco, but were decentralized so every local Wells Fargo store is a headquarters for satisfying all our customers financial needs and helping them succeed financially. We do business with one in three U.S. households. Wells Fargo has more than 265,000 team members in 36 countries across our approximately 90 businesses. At the end of third quarter 2014, Wells Fargo ranked fourth in assets among U.S. banks and was the worlds most valuable bank by market capitalization. In 2013, Euromoney named Wells Fargo 'Best Bank in its Global Awards for Excellence, the first time a U.S.-based bank has won the top award. The Chronicle of Philanthropy ranked Wells Fargos corporate giving in the top two among all U.S. companies each of the past two years. Our vision: We want to satisfy all our customers financial needs and help them succeed financially.","522110","522110","522110","522291","523910","00011","$2,582,000","Branch of Public Company"
"American Klube Fast","6865 Spanish Fort Blvd","Spanish Fort","AL","36527","Lubefast.Com","","811191","811191","","","","00004","$340,000","Private"
"Bancorp South","2405 S Mckenzie St","Foley","AL","36535","Bancorpsouthonline.Com","","522110","522110","522120","522120","522292","00009","$1,696,000","Branch of Public Company"
"Cardiology Consultants PC","701 University Blvd E # 400","Tuscaloosa","AL","35401","Mycvmd.Com","","621493","621111","621493","","","00059","$8,110,000","Private"
"Craigs Carpet Tile Grout Clnng","801 41st St # A","Fairfield","AL","35064","9290600.Com","'We Clean the Corners Others Cut'","561740","561740","811490","","","00004","$304,000","Private"
"Eden Laboratories","1314 Westgate Pkwy # 3","Dothan","AL","36303","Eden-Laboratories.Com","","621511","621511","541714","","","00001","$157,000","Private"
"Gathering Of Jewels","7875 Moffett Rd # E","Semmes","AL","36575","Thegatheringofjewels.Net","","448310","448310","","","","00002","$274,000","Private"
