patent_id,NAICS_CODES
9199212,324110N
9206357,324110N
9212401,324110N
9217111,324110N
9222028,324110N
9222031,324110N
9238779,324110N
9242912,324110N
9242913,324110N
9242915,324110N
9249362,324110N
9284242,324110N
9290821,324110N
9340623,324110N
9347178,324110N
9353031,324110N
9353478,324110N
9359557,324110N
9371488,324110N
9376355,324110N
9376501,324110N
9382593,324110N
9394485,324110N
9394486,324110N
9399836,324110N
9399837,324110N
9404044,324110N
9404217,324110N
9415367,324110N
9421512,324110N
9446436,324110N
9447345,324110N
9458247,324110N
9468950,324110N
9469815,324110N
9469822,324110N
9492851,324110N
9527788,324110N
9562160,324110N
9580602,324110N
9587179,324110N
9199889,541330E~541712E
9200236,311119Y~311225Y~325414Y
9416336,311119Y~311225Y~325414Y
9200337,541711Y
9359651,541711Y
9201455,334111N~334118N~423430N~424120N~532420N
9209649,334111N~334118N~423430N~424120N~532420N
9218898,334111N~334118N~423430N~424120N~532420N
9235236,334111N~334118N~423430N~424120N~532420N
9276432,334111N~334118N~423430N~424120N~532420N
9290852,334111N~334118N~423430N~424120N~532420N
9354682,334111N~334118N~423430N~424120N~532420N
9472693,334111N~334118N~423430N~424120N~532420N
9202635,
9349540,
9431613,
9505630,
9202734,
9240338,
9293623,
9455368,
9478679,
9202943,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9202943,541519E
9202943,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9202943,334111N~541712E
9202943,334111N~511210N~541519E
9202943,541614N
9202943,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9202943,541712E
9202943,334413N
9202943,518210N
9202943,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9202943,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9202943,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9202943,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9202943,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9202943,334111N~518210N~541511N~541512N~541513N~541519E
9209325,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9209325,541519E
9209325,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9209325,334111N~541712E
9209325,334111N~511210N~541519E
9209325,541614N
9209325,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9209325,541712E
9209325,334413N
9209325,518210N
9209325,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9209325,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9209325,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9209325,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9209325,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9209325,334111N~518210N~541511N~541512N~541513N~541519E
9209343,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9209343,541519E
9209343,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9209343,334111N~541712E
9209343,334111N~511210N~541519E
9209343,541614N
9209343,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9209343,541712E
9209343,334413N
9209343,518210N
9209343,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9209343,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9209343,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9209343,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9209343,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9209343,334111N~518210N~541511N~541512N~541513N~541519E
9219183,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9219183,541519E
9219183,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9219183,334111N~541712E
9219183,334111N~511210N~541519E
9219183,541614N
9219183,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9219183,541712E
9219183,334413N
9219183,518210N
9219183,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9219183,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9219183,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9219183,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9219183,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9219183,334111N~518210N~541511N~541512N~541513N~541519E
9219186,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9219186,541519E
9219186,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9219186,334111N~541712E
9219186,334111N~511210N~541519E
9219186,541614N
9219186,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9219186,541712E
9219186,334413N
9219186,518210N
9219186,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9219186,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9219186,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9219186,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9219186,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9219186,334111N~518210N~541511N~541512N~541513N~541519E
9219187,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9219187,541519E
9219187,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9219187,334111N~541712E
9219187,334111N~511210N~541519E
9219187,541614N
9219187,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9219187,541712E
9219187,334413N
9219187,518210N
9219187,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9219187,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9219187,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9219187,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9219187,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9219187,334111N~518210N~541511N~541512N~541513N~541519E
9227259,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9227259,541519E
9227259,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9227259,334111N~541712E
9227259,334111N~511210N~541519E
9227259,541614N
9227259,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9227259,541712E
9227259,334413N
9227259,518210N
9227259,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9227259,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9227259,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
