,LEGAL_BUSINESS_NAME,DBA_NAME,PHYSICAL_ADDRESS_LINE_1,PHYSICAL_ADDRESS_LINE_2,PHYSICAL_ADDRESS_CITY,PHYSICAL_ADDRESS_PROVINCE_OR_STATE,PHYSICAL_ADDRESS_ZIP,PHYSICAL_ADDRESS_ZIP4,PHYSICAL_ADDRESS_COUNTRY_CODE,ENTITY_CONGRESSIONAL_DISTRICT,CORPORATE_URL,ENTITY_STRUCTURE,STATE_OF INC,COUNTRY_OF_INC,0
85365,MICRON CORPORATION,MICRON,1940 ELK RIVER DAM RD,,TULLAHOMA,TN,37388,9716.0,USA,4.0,,2L,TN,USA,"['https://www.microncorp.com/', 'https://www.micron.com/', 'https://www.microncorp.com/about-us/', 'https://en.wikipedia.org/wiki/Micron_Technology', 'http://www.thomasnet.com/profile/00401371/micron-corporation.html', 'https://www.linkedin.com/company/micron-corporation', 'http://www.micronpower.com/', 'http://www.hosokawamicron.co.jp/en/', 'http://www.microntn.com/', 'http://www.micdent.com/new_page/NeoM2/english.html']"
86035,ENOVIX CORPORATION,,3501 W WARREN AVE,,FREMONT,CA,94538,6400.0,USA,17.0,,2L,DE,USA,"['http://www.enovix.com/', 'https://www.linkedin.com/company/enovix-corp-', 'http://www.wsj.com/articles/enovix-tries-to-build-a-better-battery-with-chipmaking-techniques-1459978546', 'http://www.treasurer.ca.gov/caeatfa/meeting/staff/2017/20170117/4b1.pdf', 'https://twitter.com/enovix3d?lang=en', 'http://spectrum.ieee.org/semiconductors/design/how-to-build-a-safer-more-energydense-lithiumion-battery', 'https://pitchbook.com/profiles/enovix-profile-investors-funding-valuation-and-analysis', 'http://www.rockportcap.com/our-portfolio/enovix', 'https://blogs.wsj.com/cfo/2016/04/07/the-morning-ledger-valeant-gains-breathing-room-on-debt-obligations/', 'https://www.crunchbase.com/organization/enovix']"
96668,"JOHNSON CONTROLS, INC.",JOHNSON CONTROLS,4850 BROOKSIDE CT,,NORFOLK,VA,23502.0,2052.0,USA,3.0,,2L,WI,USA,"['http://www.johnsoncontrols.com/', 'https://en.wikipedia.org/wiki/Johnson_Controls', 'http://www.johnsoncontrols.com/careers/why-johnson-controls', 'https://www.johnsoncontrols.com/contact-us', 'http://investors.johnsoncontrols.com/', 'https://www.linkedin.com/company/johnson-controls', 'https://jobs.johnsoncontrols.com/', 'https://www.facebook.com/JohnsonControls/', 'http://investors.johnsoncontrols.com/financial-information/johnson-sec-filings', 'https://cgproducts.johnsoncontrols.com/']"
96679,"JOHNSON CONTROLS, INC.",JOHNSON CONTROLS,850 E FRANKLIN RD STE 410,,MERIDIAN,ID,83642,8916.0,USA,1.0,,2L,WI,USA,"['http://www.johnsoncontrols.com/', 'https://en.wikipedia.org/wiki/Johnson_Controls', 'http://www.johnsoncontrols.com/careers/why-johnson-controls', 'https://www.johnsoncontrols.com/contact-us', 'http://investors.johnsoncontrols.com/', 'https://www.linkedin.com/company/johnson-controls', 'https://jobs.johnsoncontrols.com/', 'https://www.facebook.com/JohnsonControls/', 'http://investors.johnsoncontrols.com/financial-information/johnson-sec-filings', 'https://cgproducts.johnsoncontrols.com/']"
96680,"JOHNSON CONTROLS, INC.",JOHNSON CONTROLS,4415 SEA RAY DR,,NORTH CHARLESTON,SC,29405,8401.0,USA,6.0,,2L,WI,USA,"['http://www.johnsoncontrols.com/', 'https://en.wikipedia.org/wiki/Johnson_Controls', 'http://www.johnsoncontrols.com/careers/why-johnson-controls', 'https://www.johnsoncontrols.com/contact-us', 'http://investors.johnsoncontrols.com/', 'https://www.linkedin.com/company/johnson-controls', 'https://jobs.johnsoncontrols.com/', 'https://www.facebook.com/JohnsonControls/', 'http://investors.johnsoncontrols.com/financial-information/johnson-sec-filings', 'https://cgproducts.johnsoncontrols.com/']"
99344,KORNYLAK CORPORATION,,400 HEATON ST,,HAMILTON,OH,45011,1872.0,USA,8.0,,2K,OH,USA,"['http://kornylak.com/', 'https://www.linkedin.com/company/kornylak-corporation', 'http://www.kornylak.com/wheels/wheels.html', 'http://www.thomasnet.com/profile/10021888/kornylak-corporation.html', 'http://www.kornylak.com/contact-us.html', 'https://www.facebook.com/Kornylak-Corporation-122071160777/', 'https://twitter.com/transwheel?lang=en', 'http://store.kornylak.com/', 'http://www.zycon.com/Profile/Kornylak-Corporation-219514/', 'https://www.youtube.com/user/KornylakCorp']"
99378,ENVIRONMENTAL TECTONICS CORPORATION,,125 JAMES WAY,,SOUTHAMPTON,PA,18966.0,3817.0,USA,8.0,,2L,PA,USA,"['https://www.etcusa.com/', 'https://www.linkedin.com/company/environmental-tectonics-corp', 'https://www.etcusa.com/about/', 'https://www.glassdoor.com/Overview/Working-at-Environmental-Tectonics-EI_IE1372.11,34.htm', 'https://www.etcusa.com/careers/', 'http://www.marketwatch.com/investing/stock/etcc', 'http://www.vault.com/company-profiles/aerospace-and-defense/environmental-tectonics-corporation/company-overview', 'http://www.etcaircrewtraining.com/', 'https://finance.yahoo.com/quote/ETCC?p=ETCC', 'http://topics.nytimes.com/top/news/business/companies/environmental-tectonics-corporation/index.html']"
99547,"HEI, INC.",,3800 VASSER DRIVE NE,,ALBUQUERQUE,NM,87107.0,2059.0,USA,1.0,,2L,NM,USA,"['http://heinm.com/', 'https://www.linkedin.com/company/hei-inc', 'http://www.hei.com/', 'https://www.glassdoor.com/Jobs/HEI-Jobs-E1465.htm', 'http://www.campo-nsn.gov/muhthei.html', 'http://www.google.com/finance?q=OTCMKTS:HEIIQ', 'https://www.manta.com/c/mmfsrhs/hei-inc', 'http://www.mbbnet.umn.edu/company_folder/hei.html', 'http://highenergyinc.com/', 'http://www.manta.com/c/mm7yv0d/hei-inc']"
99576,TEMPTRONIC CORPORATION,,41 HAMPDEN RD,,MANSFIELD,MA,2048.0,1807.0,USA,4.0,,2L,DE,USA,"['http://www.temptronic.com/', 'https://www.bostonglobe.com/metro/obituaries/2017/02/16/thomas-gerendas-holocaust-survivor-who-founded-temptronic-corp/wIB1LoY1zs57qpDAgg4AaK/story.html', 'http://www.temptronic.com/Aboutus/Aboutus_04.htm', 'https://www.linkedin.com/company/temptronic-corp', 'http://www.temptronic.com/Products/ProductSelector.htm', 'https://www.linkedin.com/company/temptronic-corporation', 'http://www.temptronic.com/Products/product_index.htm', 'http://www.intest.com/products/products_temptronic.htm', 'https://www.linkedin.com/company/intest', 'http://www.intest.com/']"
99645,"RWC, INC.",,2105 S EUCLID AVE,,BAY CITY,MI,48706,3409.0,USA,5.0,,2L,MI,USA,"['http://www.rwcinc.com/', 'http://rwcincorporated.com/', 'http://www.rwc-inc.net/', 'https://www.youtube.com/watch?v=UZ7O5vp06Bg', 'http://www.rwc.com/', 'https://www.linkedin.com/company/rwc-inc', 'http://www.dec.ny.gov/docs/regions_pdf/rwcord.pdf', 'http://www.baycityarea.com/Manufacturers/RWC,-Inc-842', 'https://finance.yahoo.com/quote/RWC/', 'http://portofmemphis.com/industry/rwc-inc/']"
105361,"PETOSKEY PLASTICS, INC.",,1100 W GRANT ST,,HARTFORD CITY,IN,47348,1970.0,USA,5.0,,2L,MI,USA,"['http://www.petoskeyplastics.com/', 'https://www.linkedin.com/company/petoskey-plastics', 'http://www.petoskeyplastics.com/products/', 'https://www.facebook.com/PetoskeyPlastics/', 'http://www.petoskeyplastics.com/contact/', 'https://www.amazon.com/Petoskey-Plastics-94105-Steelcoat-Contractor/dp/B00HC7N90C', 'http://www.petoskeyplastics.com/careers/', 'http://www.greencoreproducts.com/2017/01/petoskey-plastics-named-finalist-for-plastics-news-processor-of-the-year-2016/', 'https://www.linkedin.com/in/paul-keiswetter-a515508', 'https://www.yellowpages.com/morristown-tn/mip/petoskey-plastics-11926011']"
105363,"PETOSKEY PLASTICS, INC.",,5725 COMMERCE BLVD,,MORRISTOWN,TN,37814.0,1049.0,USA,1.0,,2L,MI,USA,"['http://www.petoskeyplastics.com/', 'https://www.linkedin.com/company/petoskey-plastics', 'http://www.petoskeyplastics.com/products/', 'https://www.facebook.com/PetoskeyPlastics/', 'http://www.petoskeyplastics.com/contact/', 'https://www.amazon.com/Petoskey-Plastics-94105-Steelcoat-Contractor/dp/B00HC7N90C', 'http://www.petoskeyplastics.com/careers/', 'http://www.greencoreproducts.com/2017/01/petoskey-plastics-named-finalist-for-plastics-news-processor-of-the-year-2016/', 'https://www.linkedin.com/in/paul-keiswetter-a515508', 'https://www.yellowpages.com/morristown-tn/mip/petoskey-plastics-11926011']"
105364,"PETOSKEY PLASTICS, INC.",,4226 US HWY 31,,PETOSKEY,MI,49770,9723.0,USA,1.0,,2L,MI,USA,"['http://www.petoskeyplastics.com/', 'https://www.linkedin.com/company/petoskey-plastics', 'http://www.petoskeyplastics.com/products/', 'https://www.facebook.com/PetoskeyPlastics/', 'http://www.petoskeyplastics.com/contact/', 'https://www.amazon.com/Petoskey-Plastics-94105-Steelcoat-Contractor/dp/B00HC7N90C', 'http://www.petoskeyplastics.com/careers/', 'http://www.greencoreproducts.com/2017/01/petoskey-plastics-named-finalist-for-plastics-news-processor-of-the-year-2016/', 'https://www.linkedin.com/in/paul-keiswetter-a515508', 'https://www.yellowpages.com/morristown-tn/mip/petoskey-plastics-11926011']"
105444,CORAL CHEMICAL COMPANY,CORAL,1915 INDUSRIAL AVE,,ZION,IL,60099,1435.0,USA,10.0,,2L,IL,USA,"['http://www.coral.com/', 'https://www.linkedin.com/company/coral-chemical-company', 'http://www.coral.com/products/', 'http://www.pfonline.com/suppliers/corache', 'http://www.coral.com/general-inquiries/', 'https://www.linkedin.com/company/coral-chemical', 'http://www.coral.com/about-coral/careers/', 'http://www.poolwater.com/msds/all/Coral%20Seas%20-%20Green%20to%20Clean.pdf', 'http://www.pfonline.com/columns/a-conversation-withpeter-dority-coral-chemical', 'http://aquamagazine.com/community/nc-brands-on-the-acquisition-trail.html']"
111071,"RJ LEE GROUP, INC.",,350 HOCHBERG RD,,MONROEVILLE,PA,15146.0,1516.0,USA,12.0,,2L,PA,USA,"['http://www.rjlg.com/', 'https://en.wikipedia.org/wiki/RJ_Lee_Group', 'http://www.rjlg.com/all-laboratory-services/', 'https://www.linkedin.com/company/rj-lee-group', 'http://www.rjlg.com/about-us/careers/', 'https://www.facebook.com/rjleegroup/', 'http://www.rjlg.com/contact-us/', 'https://www.linkedin.com/company/r-j-lee-group-inc', 'https://www.azomining.com/Suppliers.aspx?SupplierID=3726', 'http://go.rjlg.com/us-distributor-ionicon-ptr-ms']"
111076,KOPIN CORPORATION,,125 NORTH DR,,WESTBOROUGH,MA,1581,3335.0,USA,2.0,,2L,DE,USA,"['http://www.kopin.com/', 'https://en.wikipedia.org/wiki/Kopin_Corporation', 'http://www.kopin.com/investors/overview/default.aspx', 'https://finance.yahoo.com/quote/KOPN/', 'http://www.kopin.com/capabilities/display/default.aspx', 'http://www.google.com/finance?q=NASDAQ:KOPN', 'http://www.kopin.com/contact/', 'https://www.linkedin.com/company/kopin-corporation', 'https://finance.yahoo.com/q?s=kopn', 'https://seekingalpha.com/symbol/KOPN']"
111367,"INTEVAC, INC.",,3560 BASSETT ST,,SANTA CLARA,CA,95054,2704.0,USA,17.0,,2L,DE,USA,"['http://www.intevac.com/', 'https://finance.yahoo.com/quote/IVAC/', 'http://www.intevac.com/company/careers/', 'http://investor.intevac.com/', 'http://www.intevac.com/company/', 'http://www.google.com/finance?q=NASDAQ:IVAC', 'https://en.wikipedia.org/wiki/Intevac', 'http://investor.intevac.com/releases.cfm?view=all', 'http://www.marketwatch.com/investing/stock/ivac', 'https://www.linkedin.com/company/intevac']"
111755,"AERODYNE RESEARCH, INC.",,45 MANNING RD,,BILLERICA,MA,1821,3934.0,USA,6.0,,2L,MA,USA,"['http://www.aerodyne.com/', 'https://www.flyaerodyne.com/', 'http://www.aerodyne.com/about', 'https://www.linkedin.com/company/aerodyne-research', 'http://www.aerodyne.com/contact', 'https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.institutioninfo/location/2801', 'http://www.aerodyne.com/product-overview', 'https://www.researchgate.net/institution/Aerodyne_Research_Inc', 'https://www.glassdoor.com/Overview/Working-at-Aerodyne-Research-EI_IE261660.11,28.htm', 'https://www.azonano.com/suppliers.aspx?SupplierID=530']"
111759,ALLIANT TECHSYSTEMS INC.,,25201 E 78 HWY,,INDEPENDENCE,MO,64056,,USA,5.0,,2L,MO,USA,"['http://www.atk.com/', 'https://en.wikipedia.org/wiki/Alliant_Techsystems', 'https://www.fool.com/investing/general/2015/01/29/alliant-techsystems-inc-issues-its-last-earnings-r.aspx', 'https://www.linkedin.com/company/alliant-tech-systems-inc', 'https://www.orbitalatk.com/', 'https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=139606963', 'http://www.nytimes.com/topic/company/orbital-atk-inc', 'https://jobs.orbitalatk.com/', 'https://www.sec.gov/Archives/edgar/data/866121/000144530513001376/atk-3312013x10xk.htm', 'https://www.moodys.com/credit-ratings/Orbital-ATK-Inc-credit-rating-600015494']"
112684,"LUBRICATION TECHNOLOGIES, INC.",,120 BOSWORTH ST,,WEST SPRINGFIELD,MA,01089,3503.0,USA,1.0,,2L,MA,USA,"['http://www.lubetech.com/', 'http://www.lubetechnologies.com/', 'https://www.linkedin.com/company/lubrication-technologies-inc-', 'http://www.badgerlubrication.com/', 'https://www.linkedin.com/company/lubrication-technology-inc.', 'http://www.globalspec.com/supplier/profile/LubricationTechnology', 'http://caselaw.findlaw.com/us-7th-circuit/1392346.html', 'http://appliedlubrication.com/', 'http://www.carwash.org/news-landing/2017/03/29/lubrication-technologies-agrees-to-acquire-professional-carwash-systems-inc', 'http://bluestarlt.com/']"
113550,IXYS CORPORATION,,1590 BUCKEYE DR,,MILPITAS,CA,95035.0,7418.0,USA,17.0,,2L,DE,USA,"['http://www.ixys.com/', 'https://en.wikipedia.org/wiki/IXYS_Corporation', 'https://finance.yahoo.com/quote/IXYS', 'http://www.ixyspower.com/', 'https://finance.yahoo.com/q?s=IXYS', 'https://www.linkedin.com/company/ixys-corporation', 'http://www.marketwatch.com/investing/stock/ixys', 'http://www.google.com/finance?q=NASDAQ:IXYS', 'https://www.digikey.com/en/supplier-centers/i/ixys-corporation', 'https://ixyscolorado.com/']"
113628,PHYSICAL OPTICS CORPORATION,,1845 WEST 205TH STREET,,TORRANCE,CA,90501,1821.0,USA,43.0,,2L,CA,USA,"['http://www.poc.com/', 'https://www.glassdoor.com/Reviews/Physical-Optics-Corporation-Reviews-E262045.htm', 'http://www.poc.com/careers/', 'https://www.glassdoor.com/Overview/Working-at-Physical-Optics-Corporation-EI_IE262045.11,38.htm', 'https://www.linkedin.com/company/poc', 'http://californiananoeconomy.org/content/physical-optics-corporation', 'https://www.crunchbase.com/organization/physical-optics-corporation', 'http://www.multivu.com/players/English/7544051-poc-navair-dds-contract/', 'https://www.indeed.com/cmp/Physical-Optics-Corporation', 'https://www.flexjobs.com/jobs/telecommuting-jobs-at-physical_optics_corporation_-_poc']"
114125,"ELECTRO SCIENTIFIC INDUSTRIES, INC.",E S I,13900 NW SCIENCE PARK DR,,PORTLAND,OR,97229,5411.0,USA,1.0,,2L,OR,USA,"['https://www.esi.com/', 'https://en.wikipedia.org/wiki/Electro_Scientific_Industries', 'http://investors.esi.com/', 'https://finance.yahoo.com/quote/ESIO/', 'https://www.linkedin.com/company/electro-scientific-industries-inc-', 'http://www.google.com/finance?q=NASDAQ:ESIO', 'https://seekingalpha.com/article/4071460-electro-scientific-industries-esio-ceo-michael-burger-q4-2017-results-earnings-call', 'https://www.glassdoor.com/Reviews/Electro-Scientific-Industries-Reviews-E1365.htm', 'http://www.marketwatch.com/investing/stock/esio', 'https://www.zacks.com/stock/quote/ESIO']"
114224,"BIOTHERM HYDRONIC, INC.",TRUE LEAF TECHNOLOGIES,476 PRIMERO CRT,,COTATI,CA,94931,3014.0,USA,5.0,,2L,CA,USA,"['http://www.biothermsolutions.com/', 'https://www.linkedin.com/company/trueleaf-technologies', 'http://www.biothermsolutions.com/products/', 'http://www.raypak.com/product.aspx?id=8A72D058-45A8-49F0-8A92-41E626452EBF', 'http://www.biothermsolutions.com/industries/greenhouse/', 'http://www.raypak.com/Product.aspx?id=2e96c444-f50f-4814-833b-b24659811f90', 'http://www.biothermsolutions.com/about-us/', 'http://www.deltatsolutions.com/', 'http://www.biothermic.ca/about', 'https://www.heatmor.com/']"
115437,"APLIX, INC.",,12300 STEELE CREEK RD,,CHARLOTTE,NC,28273,3738.0,USA,12.0,,2L,DE,USA,"['http://www.aplix.com/en', 'https://www.manufacturednc.com/Aplix-Inc', 'http://www.aplix.com/fr', 'https://www.packworld.com/company/aplix-inc', 'http://www.aplix.com/en/contact', 'https://www.linkedin.com/company/aplix-inc', 'http://www.aplix.com/en/careers.html', 'https://www.linkedin.com/company/aplix-corporation', 'http://stc.officialbuyersguide.net/Listing.asp?MDSID=SNT-1000055&AdListingID=', 'https://www.linkedin.com/company/aplix---hook-&-loop-fasteners']"
115501,"TOMAR ELECTRONICS, INC.",,2100 W OBISPO AVE,,GILBERT,AZ,85233,3401.0,USA,5.0,,2L,AZ,USA,"['https://www.tomar.com/', 'https://www.amazon.com/Tomar-Electronics-5001-Strobe-Replacement/dp/B006GEVGRK', 'https://www.tomar.com/products/', 'https://www.facebook.com/TOMARUSA/', 'https://www.linkedin.com/company/tomar-electronics', 'http://www.tomar-custom.com/', 'http://www.tomar.com/support/privacy.htm', 'http://www.rga-traffic.com/distributor-supplier-tomar-electronics-emergency-vehicle-traffic-control-systems.html', 'http://www.tomar.com/pdf/catalogs/strobecom.pdf', 'http://www.thomasnet.com/profile/00708909/tomar-electronics-inc.html']"
115953,"AIR-VAC ENGINEERING COMPANY, INC.",,30 PROGRESS AVE,,SEYMOUR,CT,6483,3921.0,USA,3.0,,2L,CT,USA,"['http://www.air-vac-eng.com/', 'http://www.airvacpumps.com/', 'http://air-vac-store.com/', 'http://www.air-vac-eng.com/contacts.html', 'https://www.manta.com/c/mmb46w5/air-vac-engineering-company-inc', 'https://www.linkedin.com/company/airvac-inc.', 'http://www.jdbullerreps.com/New_Folder/DRS25UserManual%20002500902%20R0100.pdf', 'https://www.smtnet.com/company/index.cfm?fuseaction=view_company&company_id=44527&component=catalog&catalog_id=19555', 'http://www.smtnet.com/company/index.cfm?fuseaction=view_company&company_id=44527&component=catalog&catalog_id=19553', 'http://www.gsaservice.com/about_gsa_service_co.htm']"
116286,EVANS & SUTHERLAND COMPUTER CORPORATION,,770 KOMAS DR,,SALT LAKE CITY,UT,84108.0,1207.0,USA,2.0,,2L,UT,USA,"['https://www.es.com/', 'https://en.wikipedia.org/wiki/Evans_%26_Sutherland', 'https://www.es.com/About/', 'http://www.google.com/finance?q=OTCMKTS:ESCC', 'https://www.es.com/Contact/', 'https://www.crunchbase.com/organization/evans-sutherland-computer-corporation', 'https://www.linkedin.com/company/evans-&-sutherland', 'http://www.es.com/About/Careers.aspx', 'https://finance.yahoo.com/quote/ESCC/', 'http://caselaw.findlaw.com/us-2nd-circuit/1305040.html']"
116402,TEALIUM INC.,,11085 TORREYANA RD FL 2,,SAN DIEGO,CA,92121,1104.0,USA,49.0,,2L,CA,USA,"['https://tealium.com/', 'https://en.wikipedia.org/wiki/Tealium', 'https://tealium.com/contact/', 'http://tealium.com/gb/', 'http://www.sandiegouniontribune.com/business/sd-fi-tealium-funding-20160921-story.html', 'https://github.com/Tealium', 'https://www.linkedin.com/company/tealium', 'https://www.crunchbase.com/organization/tealium', 'https://www.glassdoor.com/Reviews/Tealium-Reviews-E664700.htm', 'https://www.inc.com/profile/tealium']"
116528,"ECKEL INDUSTRIES, INC.",ECKOUSTIC DIVISION,155 FAWCETT ST STE 1,,CAMBRIDGE,MA,2138,1111.0,USA,5.0,,2L,MA,USA,"['http://www.eckelusa.com/', 'https://en.wikipedia.org/wiki/Eckel_Industries', 'http://www.eckelusa.com/contact-us.html', 'http://www.manta.com/c/mmb48qv/eckel-industries-inc', 'http://www.eckelusa.com/products.html', 'http://www.arcat.com/arcatcos/cos32/arc32186.html', 'http://www.manta.com/c/mt59d9s/eckel-industries-inc', 'https://www.linkedin.com/company/eckel-industries-inc', 'https://sweets.construction.com/Manufacturer/Eckel-Industries-Inc-NST164/Products/Eckoustic-Functional-Panels--EFP--NST205922-P', 'https://www.linkedin.com/company/eckel-industries']"
116530,CYBEROPTICS CORPORATION,,5900 GOLDEN HILLS DR,,MINNEAPOLIS,MN,55416,1040.0,USA,5.0,,2L,MN,USA,"['http://cyberoptics.com/', 'https://finance.yahoo.com/quote/CYBE/', 'http://cyberoptics.com/investor/', 'http://www.google.com/finance?q=NASDAQ:CYBE', 'http://cyberoptics.com/company/', 'https://www.linkedin.com/company/cyberoptics', 'https://seekingalpha.com/symbol/CYBE', 'https://www.bloomberg.com/quote/CYBE:US', 'http://www.marketwatch.com/investing/stock/cybe', 'https://www.zacks.com/stock/quote/CYBE']"
133780,"INNOVATION ASSOCIATES, INC.",,530 COLUMBIA DR STE 101,,JOHNSON CITY,NY,13790.0,1057.0,USA,22.0,,ZZ,NY,USA,"['https://innovat.com/', 'http://www.innovationassociates.com/', 'http://innovationassoc.com/', 'https://www.linkedin.com/company/innovation-associates', 'http://www.niasat.com/', 'http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/15-1565.Opinion.8-8-2016.1.PDF', 'http://clinicalinnovations.com/', 'http://www.niasat.com/contact/', 'http://www.innovationpp.net/', 'https://www.roboticsbusinessreview.com/company/innovation-associates/']"
133792,"HYPRES, INC.",,175 CLEARBROOK RD,,ELMSFORD,NY,10523.0,1109.0,USA,17.0,,2L,DE,USA,"['http://www.hypres.com/', 'https://www.linkedin.com/company/hypres', 'http://www.hypres.com/company/executive-team/', 'http://www.hypresequip.com/', 'http://www.hypres.com/products/', 'https://www.crunchbase.com/organization/hypres', 'http://www.hypres.com/contact/', 'https://www.glassdoor.com/Salary/HYPRES-Salaries-E11092.htm', 'https://www.youtube.com/watch?v=JdUi1Zr9tiY', 'http://scholar.google.com/citations?user=Yeslw5kAAAAJ&hl=en']"
134383,HONEYWELL INTERNATIONAL INC.,HONEYWELL,8370 DOW CIR STE 5,,STRONGSVILLE,OH,44136,1778.0,USA,16.0,,ZZ,OH,USA,"['https://www.honeywell.com/', 'https://en.wikipedia.org/wiki/Honeywell', 'https://www.bloomberg.com/quote/HON:US', 'http://www51.honeywell.com/honeywell/contact-support/contact-us.html', 'http://quotes.wsj.com/HON', 'https://www.linkedin.com/company/honeywell', 'https://aerospace.honeywell.com/', 'https://myaerospace.honeywell.com/account/login', 'http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1996.Opinion.7-31-2017.1.PDF', 'https://yourhome.honeywell.com/en/products/thermostat']"
144774,EMAGIN CORPORATION,,2070 ROUTE 52,,HOPEWELL JUNCTION,NY,12533.0,3507.0,USA,18.0,,2L,DE,USA,"['http://emagin.com/', 'http://ir.emagin.com/', 'http://emagin.com/about/locations/', 'http://ir.emagin.com/phoenix.zhtml?c=96135&p=irol-news&nyo=0', 'http://emagin.com/contact/', 'https://finance.yahoo.com/quote/EMAN/', 'https://www.linkedin.com/company/emagin-corporation', 'https://finance.yahoo.com/q?s=eman', 'https://en.wikipedia.org/wiki/EMagin', 'http://www.google.com/finance?q=NYSEMKT:EMAN']"
144802,"VARIAN MEDICAL SYSTEMS, INC.",VARIAN MEDICAL SYSTEMS,3100 HANSEN WAY,,PALO ALTO,CA,94304,1030.0,USA,18.0,,2L,DE,USA,"['https://www.varian.com/?multilink=switch', 'https://en.wikipedia.org/wiki/Varian_Medical_Systems', 'https://www.varian.com/about-varian/careers?multilink=switch', 'http://investors.varian.com/', 'https://www.varian.com/about-varian?multilink=switch', 'http://newsroom.varian.com/', 'https://www.varian.com/oncology/products?multilink=switch', 'https://www.glassdoor.com/Reviews/Varian-Medical-Systems-Reviews-E9111.htm', 'https://www.linkedin.com/company/varian-medical-systems', 'https://www.glassdoor.com/Overview/Working-at-Varian-Medical-Systems-EI_IE9111.11,33.htm']"
