,patent_id
1,9198874
2,9198928
4,9199273
5,9199435
6,9199438
8,9199841
10,9199858
11,9200082
12,9200126
13,9200152
16,9200378
17,9200413
18,9200804
19,9200974
20,9201010
24,9201170
26,9201280
27,9201301
28,9201442
29,9201726
30,9201990
31,9202399
32,9202533
33,9202556
34,9202557
36,9202575
37,9202579
38,9202596
42,9202693
45,9202707
46,9202709
47,9202720
48,9202721
49,9202722
50,9202728
52,9202759
53,9202762
55,9202788
56,9202814
57,9202818
58,9202822
59,9202823
60,9202825
61,9202827
62,9202842
63,9202847
64,9202849
65,9202851
66,9202865
67,9202867
68,9202868
69,9202873
70,9202877
71,9202892
72,9202896
74,9202899
75,9202907
76,9202915
77,9202922
78,9202925
79,9202926
80,9202927
81,9202928
82,9202931
83,9202936
84,9202938
86,9202944
87,9202944
88,9202945
89,9202947
90,9202975
91,9202987
92,9202988
93,9202992
96,9202998
97,9203023
99,9203030
102,9203040
108,9203095
109,9203101
110,9203116
111,9203155
113,9203269
115,9204554
116,9205039
118,9205173
119,9205173
120,9205399
122,9205581
123,9205707
124,9205707
125,9206040
126,9206049
127,9206049
128,9206054
129,9206102
130,9206102
131,9206202
133,9206233
134,9206303
136,9206339
138,9206403
140,9206509
143,9206665
144,9206810
145,9207053
146,9207357
147,9207385
149,9207504
151,9208828
152,9208840
153,9208848
154,9208868
155,9208887
156,9208925
157,9208943
158,9208956
160,9209023
161,9209025
162,9209026
163,9209030
165,9209042
166,9209069
167,9209081
169,9209099
170,9209111
171,9209119
172,9209125
174,9209140
175,9209144
177,9209189
178,9209191
179,9209201
180,9209203
181,9209204
182,9209205
183,9209232
184,9209255
185,9209256
186,9209262
187,9209267
188,9209276
189,9209282
190,9209283
191,9209285
192,9209289
193,9209295
194,9209307
195,9209309
196,9209310
197,9209311
198,9209312
199,9209313
200,9209314
201,9209315
202,9209336
205,9209352
206,9209366
209,9209390
210,9209394
211,9209398
214,9209488
215,9209595
216,9209596
218,9211346
219,9211419
221,9211678
222,9211688
224,9212056
225,9212063
226,9212145
228,9212267
229,9212268
230,9212273
231,9212285
232,9212292
233,9212294
234,9212294
237,9212430
238,9212895
239,9213187
240,9213191
241,9213192
242,9213206
243,9213236
246,9213593
248,9213945
249,9214226
250,9214227
251,9214228
252,9214234
253,9214239
254,9214241
261,9214333
262,9214334
265,9214350
266,9214379
267,9214380
269,9214393
271,9214429
273,9214464
274,9214465
275,9214468
276,9214474
277,9214508
278,9214523
279,9214524
280,9214526
281,9214526
282,9214532
283,9214533
284,9214546
286,9214562
287,9214563
288,9214564
289,9214566
290,9214570
291,9214574
293,9214597
294,9214618
295,9214622
298,9214788
299,9214789
300,9215759
301,9215759
302,9215779
304,9215877
305,9216220
307,9216370
308,9216391
309,9216398
310,9216493
311,9216546
312,9216908
313,9216908
314,9216910
316,9216949
317,9217053
319,9217200
323,9217727
324,9217758
327,9217899
328,9218756
329,9218870
330,9218887
331,9218888
332,9218916
334,9218957
335,9218966
336,9218970
337,9218972
338,9218976
340,9219008
341,9219050
343,9219066
344,9219071
346,9219076
347,9219084
348,9219085
349,9219088
350,9219090
351,9219098
352,9219100
354,9219120
355,9219121
356,9219130
357,9219134
359,9219145
361,9219156
362,9219158
363,9219159
364,9219160
365,9219163
366,9219164
367,9219165
371,9219175
372,9219180
373,9219180
374,9219191
375,9219193
376,9219193
377,9219228
378,9219238
379,9219249
380,9219254
381,9219280
382,9219280
384,9219971
389,9220951
390,9221032
391,9221056
394,9221707
395,9221733
397,9221888
400,9221978
401,9221979
403,9221991
404,9222004
406,9222169
407,9222708
409,9222930
410,9223037
411,9223088
413,9223442
414,9224412
417,9224469
418,9224478
419,9224488
420,9224518
421,9224598
423,9224608
424,9224609
425,9224622
427,9224631
428,9224651
431,9224659
432,9224663
433,9224667
434,9224668
435,9224691
436,9224692
437,9224698
439,9224745
440,9224749
441,9224757
442,9224778
443,9224792
445,9224802
448,9224809
450,9224811
451,9224812
452,9224816
453,9224818
454,9224819
455,9224838
456,9224839
457,9224850
458,9224852
459,9224860
460,9224869
461,9224871
462,9224874
463,9224875
464,9224877
465,9224879
466,9224883
467,9224892
469,9224905
470,9224916
471,9224919
472,9224920
474,9224965
475,9225003
476,9225011
477,9225023
478,9225072
479,9225147
480,9225356
482,9226508
483,9226890
485,9227182
487,9227360
488,9227361
490,9227456
492,9228025
493,9228067
494,9228149
495,9228262
496,9228420
497,9228697
500,9228944
502,9228972
503,9228974
504,9229006
506,9229451
508,9230618
509,9230625
510,9230640
511,9230644
512,9230646
513,9230647
514,9230650
515,9230793
516,9230799
518,9230799
520,9230818
521,9230824
522,9230826
523,9230857
525,9230865
526,9230909
529,9230924
530,9230928
531,9230930
532,9230931
533,9230946
535,9230979
536,9230980
537,9230987
538,9230989
539,9230996
540,9230998
541,9231002
542,9231003
543,9231011
544,9231014
545,9231014
546,9231029
548,9231052
549,9231056
550,9231058
551,9231060
552,9231060
553,9231066
554,9231070
555,9231081
556,9231082
557,9231095
558,9231096
559,9231101
560,9231107
561,9231110
562,9231112
563,9231115
564,9231116
566,9231152
567,9231181
568,9231192
569,9231201
574,9231222
575,9231223
576,9231370
577,9231370
580,9232317
581,9232572
584,9232813
587,9233072
588,9233078
589,9233163
590,9233164
591,9233166
593,9233190
594,9233190
595,9233366
596,9233492
597,9233650
598,9233842
601,9233854
602,9233878
606,9234078
607,9234084
608,9234114
610,9234130
611,9234280
612,9234310
614,9234633
615,9234656
617,9234796
620,9234876
623,9235082
624,9235089
625,9235089
626,9235095
627,9235515
628,9236076
629,9236106
631,9236130
632,9236145
633,9236169
635,9236197
636,9236244
637,9236248
638,9236250
640,9236287
641,9236291
642,9236297
644,9236309
645,9236310
646,9236338
647,9236385
648,9236390
649,9236395
650,9236396
651,9236400
652,9236405
653,9236412
654,9236428
655,9236430
656,9236432
658,9236440
660,9236454
661,9236455
662,9236456
663,9236457
664,9236460
665,9236468
667,9236477
668,9236485
669,9236489
670,9236490
671,9236491
672,9236507
673,9236510
676,9236575
677,9236600
678,9236600
679,9236607
680,9236607
681,9236633
682,9236945
683,9236947
684,9237283
685,9237616
686,9237646
687,9237657
688,9237658
691,9238349
693,9238582
695,9238700
696,9238710
701,9239192
703,9239284
704,9239298
705,9239298
706,9239328
708,9239484
711,9239803
712,9240132
713,9240222
714,9240224
715,9240246
716,9240254
717,9240258
718,9240348
719,9240358
721,9240364
722,9240379
723,9240382
724,9240386
726,9240416
729,9240451
730,9240455
732,9240463
733,9240464
734,9240467
736,9240478
737,9240485
738,9240486
739,9240487
740,9240489
741,9240490
742,9240493
743,9240494
745,9240507
747,9240509
748,9240516
749,9240539
750,9240543
753,9240564
754,9240567
755,9240607
756,9240674
757,9240675
758,9240714
759,9240785
763,9241411
764,9241433
765,9241434
766,9241482
767,9241555
769,9241679
770,9241891
772,9241901
773,9241902
776,9241987
777,9242016
778,9242087
780,9242271
781,9242295
782,9242310
783,9242431
785,9242443
786,9242443
789,9242861
792,9242895
793,9242897
794,9243087
796,9243111
798,9243159
799,9243162
800,9243204
801,9243213
802,9243275
804,9243351
805,9243475
806,9243624
807,9244012
811,9244208
812,9244296
813,9244320
814,9244357
815,9244366
819,9245484
820,9245549
821,9245551
822,9245609
823,9245621
824,9245623
825,9245629
826,9245661
828,9245746
829,9245749
830,9245749
832,9245764
833,9245765
835,9245800
839,9245851
840,9245864
841,9245889
843,9245900
844,9245906
845,9245911
847,9245948
848,9245949
850,9245957
851,9245958
852,9245959
853,9245962
854,9245966
855,9245969
856,9245973
857,9245981
858,9245983
859,9245986
861,9245999
862,9246000
863,9246001
864,9246004
865,9246008
866,9246009
867,9246010
868,9246011
869,9246014
870,9246025
872,9246045
873,9246047
874,9246069
875,9246078
876,9246089
879,9246106
882,9246149
884,9246308
885,9246309
886,9246461
888,9247116
889,9247344
890,9247344
891,9247368
892,9247613
893,9247650
894,9247650
898,9248217
899,9248281
900,9248281
902,9248411
903,9248412
904,9248428
905,9248441
909,9249025
911,9249264
912,9249277
913,9249315
914,9249334
915,9249354
918,9250168
920,9250210
921,9250266
923,9250520
924,9250528
925,9250585
926,9251117
927,9251822
928,9251868
929,9251886
930,9251901
931,9251903
932,9251910
933,9251912
935,9251922
936,9251934
940,9251965
941,9251989
942,9251989
943,9252013
944,9252016
945,9252017
947,9252027
949,9252050
951,9252082
952,9252084
953,9252092
954,9252093
955,9252097
956,9252098
957,9252103
958,9252108
959,9252114
960,9252117
961,9252158
962,9252160
963,9252161
964,9252190
965,9252192
966,9252194
967,9252200
968,9252207
969,9252211
970,9252214
971,9252218
972,9252220
973,9252223
974,9252224
975,9252226
976,9252227
977,9252248
978,9252251
979,9252261
980,9252266
981,9252268
983,9252276
984,9252279
986,9252283
987,9252285
988,9252286
989,9252287
990,9252289
991,9252290
992,9252291
993,9252306
996,9252328
997,9252335
999,9252367
1001,9252419
1002,9252424
1004,9252496
1006,9252566
1008,9252704
1010,9253587
1011,9254465
1012,9254487
1013,9254505
1014,9254588
1017,9255003
1018,9255007
1019,9255160
1022,9255288
1023,9255317
1024,9255321
1025,9255671
1026,9255838
1027,9255838
1031,9256024
1032,9256110
1033,9256122
1034,9256261
1035,9256523
1036,9256671
1037,9256815
1038,9257196
1039,9257211
1040,9257236
1041,9257236
1042,9257250
1043,9257258
1044,9257258
1045,9257273
1047,9257290
1048,9257303
1051,9257339
1052,9257345
1053,9257349
1054,9257357
1056,9257390
1057,9257391
1058,9257392
1059,9257404
1060,9257432
1062,9257435
1063,9257443
1064,9257446
1066,9257450
1067,9257472
1068,9257494
1069,9257495
1070,9257507
1071,9257509
1072,9257510
1073,9257514
1074,9257524
1077,9257538
1078,9257544
1079,9257545
1081,9257557
1082,9257562
1083,9257563
1084,9257569
1085,9257570
1086,9257574
1087,9257582
1088,9257583
1089,9257594
1090,9257600
1091,9257606
1092,9257610
1093,9257619
1095,9257652
1096,9257695
1097,9257815
1098,9259005
1099,9259390
1100,9259391
1102,9259407
1103,9259468
1104,9259492
1105,9259714
1107,9260305
1109,9260310
1111,9260312
1113,9260573
1115,9260652
1118,9260758
1119,9260781
1120,9261191
1121,9261554
1122,9261722
1123,9262032
1124,9262032
1125,9263113
1126,9263116
1127,9263123
1129,9263125
1130,9263131
1132,9263144
1133,9263152
1135,9263174
1136,9263187
1137,9263190
1138,9263196
1139,9263249
1140,9263259
1143,9263267
1144,9263280
1145,9263291
1146,9263292
1147,9263295
1148,9263313
1149,9263314
1150,9263318
1151,9263319
1152,9263320
1153,9263372
1155,9263383
1156,9263393
1157,9263399
1158,9263403
1159,9263405
1160,9263417
1161,9263448
1162,9263452
1163,9263467
1164,9263469
1165,9263472
1166,9263480
1167,9263507
1168,9263514
1170,9263520
1171,9263525
1172,9263526
1173,9263531
1174,9263534
1176,9263541
1178,9263558
1179,9263561
1180,9263572
1183,9263586
1184,9263590
1185,9263593
1186,9263594
1187,9263600
1190,9263609
1191,9263611
1193,9263613
1195,9263629
1196,9263633
1197,9263637
1199,9263660
1200,9263660
1201,9263682
1202,9263685
1203,9263685
1204,9263686
1205,9263698
1206,9263710
1207,9264795
1208,9264796
1209,9265653
1210,9265653
1211,9265728
1213,9265844
1214,9265844
1215,9266033
1216,9266172
1217,9266261
1218,9266311
1219,9266725
1223,9266781
1224,9266998
1225,9267002
1226,9267004
1227,9267051
1228,9267071
1229,9267081
1231,9267199
1233,9267664
1234,9267852
1235,9267853
1239,9267894
1241,9267919
1244,9268188
1245,9268221
1246,9268230
1247,9268346
1249,9268451
1250,9268637
1251,9269315
1252,9269419
1255,9269504
1256,9269523
1257,9269523
1260,9269579
1261,9269581
1262,9269618
1263,9269622
1266,9269665
1267,9269691
1268,9269718
1269,9269728
1270,9269730
1271,9269733
1272,9269734
1273,9269735
1274,9269755
1276,9269765
1277,9269774
1278,9269780
1279,9269781
1280,9269782
1281,9269794
1283,9269797
1284,9269798
1285,9269817
1286,9269821
1287,9269823
1288,9269825
1289,9269839
1291,9269898
1292,9269947
1293,9269959
1294,9269959
1297,9271389
1298,9271789
1299,9271926
1300,9271933
1302,9271936
1305,9272077
1306,9272134
1307,9272134
1308,9272158
1310,9272334
1313,9272976
1316,9273219
1317,9273244
1318,9273248
1319,9273305
1322,9273387
1324,9273410
1325,9273412
1326,9273412
1327,9273414
1328,9273851
1329,9273865
1330,9274008
1331,9274009
1332,9274049
1333,9274053
1334,9274058
1336,9274179
1337,9274264
1338,9274294
1339,9274372
1340,9274398
1341,9274460
1343,9275322
1344,9275710
1345,9275737
1346,9275739
1347,9275741
1348,9275745
1350,9275773
1351,9275775
1352,9275797
1353,9275844
1354,9275855
1356,9275863
1357,9275864
1360,9275896
1362,9275926
1363,9275928
1364,9275956
1366,9275996
1367,9276014
1368,9276015
1369,9276039
1370,9276048
1371,9276050
1372,9276064
1373,9276065
1374,9276066
1375,9276068
1377,9276076
1378,9276078
1379,9276091
1380,9276095
1381,9276099
1382,9276100
1383,9276106
1384,9276120
1385,9276121
1386,9276122
1387,9276123
1388,9276124
1389,9276125
1390,9276126
1391,9276127
1392,9276128
1393,9276139
1394,9276144
1395,9276145
1397,9276168
1398,9276172
1399,9276186
1400,9276197
1401,9276210
1403,9276210
1404,9276213
1406,9276216
1407,9276234
1408,9276245
1410,9276305
1411,9276326
1412,9276379
1413,9276381
1415,9276564
1417,9277607
1418,9277697
1420,9278055
1421,9278055
1423,9278113
1424,9278137
1425,9278137
1426,9278318
1429,9278392
1432,9278502
1433,9278848
1437,9278856
1438,9278862
1439,9278993
1440,9279046
1441,9279153
1443,9279203
1444,9279767
1445,9279785
1446,9279804
1450,9280044
1451,9280049
1453,9280463
1454,9280635
1455,9281016
1456,9281059
1457,9281059
1459,9281191
1460,9281194
1461,9281204
1462,9281216
1463,9281233
1464,9281267
1465,9281276
1466,9281298
1467,9281300
1469,9281322
1470,9281327
1471,9281353
1472,9281355
1473,9281358
1475,9281373
1476,9281383
1477,9281384
1480,9281406
1481,9281407
1482,9281409
1483,9281410
1484,9281412
1485,9281427
1486,9281433
1487,9281447
1490,9281472
1491,9281486
1492,9281518
1493,9282634
1496,9283185
1498,9283211
1499,9283501
1501,9283570
1502,9283619
1504,9283657
1506,9283748
1508,9284186
1510,9284191
1511,9284193
1512,9284259
1513,9284381
1514,9284389
1517,9284440
1518,9284445
1522,9284601
1525,9284682
1529,9285336
1533,9285729
1534,9285737
1535,9286024
1539,9286949
1540,9286968
1541,9286981
1543,9287052
1544,9287053
1545,9287108
1549,9287168
1550,9287189
1551,9287214
1552,9287256
1553,9287259
1554,9287266
