patent_id,NAICS_CODES
9198873,611310N
9214288,611310N
9234798,611310N
9339562,611310N
9351941,611310N
9433932,611310N
9464986,611310N
9198988,611310N
9199504,325992N~333244N~532490N~811212N
9199504,325992N
9199504,333244N~532490N~811212N
9202898,325992N~333244N~532490N~811212N
9202898,325992N
9202898,333244N~532490N~811212N
9299853,325992N~333244N~532490N~811212N
9299853,325992N
9299853,333244N~532490N~811212N
9328253,325992N~333244N~532490N~811212N
9328253,325992N
9328253,333244N~532490N~811212N
9331205,325992N~333244N~532490N~811212N
9331205,325992N
9331205,333244N~532490N~811212N
9499650,325992N~333244N~532490N~811212N
9499650,325992N
9499650,333244N~532490N~811212N
9519219,325992N~333244N~532490N~811212N
9519219,325992N
9519219,333244N~532490N~811212N
9557648,325992N~333244N~532490N~811212N
9557648,325992N
9557648,333244N~532490N~811212N
9566569,325992N~333244N~532490N~811212N
9566569,325992N
9566569,333244N~532490N~811212N
9199842,
9200172,
9293571,
9346079,
9394547,
9469808,
9526884,
9200363,541990N
9209473,541990N
9259395,541990N
9260572,541990N
9276272,541990N
9285332,541990N
9318231,541990N
9331283,541990N
9336957,541990N
9340427,541990N
9368287,541990N
9373740,541990N
9409781,541990N
9415060,541990N
9422191,541990N
9422474,541990N
9427690,541990N
9442115,541990N
9510445,541990N
9530570,541990N
9567223,541990N
9201013,339112N~339113N
9201013,325413N~334516N~532490Y~611699Y~611710Y~811219Y
9201013,334510N~334516N~423490N~811219N
9283704,339112N~339113N
9283704,325413N~334516N~532490Y~611699Y~611710Y~811219Y
9283704,334510N~334516N~423490N~811219N
9201057,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9201057,541519E
9201057,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9201057,334111N~541712E
9201057,334111N~511210N~541519E
9201057,541614N
9201057,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9201057,541712E
9201057,334413N
9201057,518210N
9201057,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9201057,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9201057,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9201057,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9201057,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9201057,334111N~518210N~541511N~541512N~541513N~541519E
9201112,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9201112,541519E
9201112,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9201112,334111N~541712E
9201112,334111N~511210N~541519E
9201112,541614N
9201112,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9201112,541712E
9201112,334413N
9201112,518210N
9201112,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9201112,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9201112,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9201112,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9201112,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9201112,334111N~518210N~541511N~541512N~541513N~541519E
9202743,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9202743,541519E
9202743,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9202743,334111N~541712E
9202743,334111N~511210N~541519E
9202743,541614N
9202743,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9202743,541712E
9202743,334413N
9202743,518210N
9202743,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9202743,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9202743,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9202743,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9202743,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9202743,334111N~518210N~541511N~541512N~541513N~541519E
9202943,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9202943,541519E
9202943,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9202943,334111N~541712E
9202943,334111N~511210N~541519E
9202943,541614N
9202943,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9202943,541712E
9202943,334413N
9202943,518210N
9202943,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9202943,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9202943,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9202943,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9202943,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9202943,334111N~518210N~541511N~541512N~541513N~541519E
9203041,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9203041,541519E
9203041,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9203041,334111N~541712E
9203041,334111N~511210N~541519E
9203041,541614N
9203041,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9203041,541712E
9203041,334413N
9203041,518210N
9203041,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9203041,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9203041,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9203041,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9203041,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9203041,334111N~518210N~541511N~541512N~541513N~541519E
9207999,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9207999,541519E
9207999,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9207999,334111N~541712E
9207999,334111N~511210N~541519E
9207999,541614N
9207999,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9207999,541712E
9207999,334413N
9207999,518210N
9207999,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9207999,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9207999,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9207999,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9207999,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9207999,334111N~518210N~541511N~541512N~541513N~541519E
9210835,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9210835,541519E
9210835,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9210835,334111N~541712E
9210835,334111N~511210N~541519E
9210835,541614N
9210835,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9210835,541712E
9210835,334413N
9210835,518210N
9210835,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9210835,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9210835,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9210835,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9210835,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9210835,334111N~518210N~541511N~541512N~541513N~541519E
9214332,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9214332,541519E
9214332,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9214332,334111N~541712E
9214332,334111N~511210N~541519E
9214332,541614N
9214332,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9214332,541712E
9214332,334413N
9214332,518210N
9214332,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9214332,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
