Organization,URL,Occurrence
21st century technologies,http://www.deumbra.com,1
"3form, llc",http://www.3-form.com/,2
"abaxis, inc.",http://www.abaxis.com,2
abbott molecular inc.,www.abbott.com,2
"abs materials, inc.",http://www.absmaterials.com,1
"ade, inc.",http://www.ade-usa.com,3
"advanced ceramic fibers, llc",www.acfibers.com,1
"advanced fuel research, inc.",http://www.afrinc.com,1
advanced research corporation,http://www.arcnano.com,6
advanced research corporation,http://www.oregonarc.com,6
aeroprobe corporation,http://www.aeroprobe.com,1
"aerovironment, inc.",http://www.aerovironment.com,1
"aerovironment, inc.",http://www.avinc.com,2
"affymetrix, inc.",http://www.affymetrix.com,22
"agiltron, inc.",http://www.agiltron.com/,1
"aircuity, inc.",http://www.aircuity.com,1
"akermin, inc.",www.akermin.com,1
alliant techsystems inc.,http://www.orbitalatk.com,6
american gnc corporation,http://www.americangnc.com,3
american lithium energy corp.,http://www.americanlithiumenergy.com,1
american panel corporation,http://www.american-panel.com,1
"american semiconductor, inc.",http://www.americansemi.com,1
"amprius, inc.",http://www.amprius.com,2
anasys instruments corp.,http://www.anasysinstruments.com,1
"aoti, inc.",http://www.aotinc.net,1
"applied nanostructures, inc.",www.appnano.com,1
"argent international, inc.",www.argent-international.com,2
"aries electronics, inc.",http://www.arieselec.com,1
"ascent solar technologies, inc.",www.ascentsolar.com,1
"asm america, inc.",www.asm.com,43
"atkins & pearce, inc.",http://www.atkinsandpearce.com,1
"aurrion, inc.",http://www.aurrion.com,1
"aushon biosystems, inc.",http://www.aushon.com,2
avery dennison corporation,http://www.averydennison.com/en/home.html,50
avery dennison corporation,www.averydennison.com,50
azimuth corporation,http://www.azimuth-corp.com,1
"azul systems, inc.",http://www.azulsystems.com,3
"beckman coulter, inc.",http://www.beckmancoulter.com,2
"becton, dickinson and company",http://www.bdbiosciences.com/,14
"biochain institute, inc.",http://www.biochain.com/,1
"bionano genomics, inc.",https://www.bionanogenomics.com,3
branson ultrasonics corporation,http://www.bransonultrasonics.com,2
brother international corporation,http://www.brother.com,13
"bush industries, inc.",http://www.bbffits.com/markets/gsa.aspx,1
"cao group, inc.",http://www.caogroup.com,2
"carl zeiss meditec, inc.",http://www.meditec.zeiss.com,2
"carver scientific, inc.",http://www.carversci.com,4
"cascade designs, inc.",http://www.cascadedesigns.com,1
"cascade designs, inc.",www.cascadedesigns.com,1
"cascade designs, inc.",www.varilite.com,1
"cavium, inc.",http://www.caviumnetworks.com,1
"cerahelix, inc.",www.cerahelix.com,1
cerus corporation,www.cerus.com,1
