,LEGAL_BUSINESS_NAME,DBA_NAME,PHYSICAL_ADDRESS_LINE_1,PHYSICAL_ADDRESS_LINE_2,PHYSICAL_ADDRESS_CITY,PHYSICAL_ADDRESS_PROVINCE_OR_STATE,PHYSICAL_ADDRESS_ZIP,PHYSICAL_ADDRESS_ZIP4,PHYSICAL_ADDRESS_COUNTRY_CODE,ENTITY_CONGRESSIONAL_DISTRICT,CORPORATE_URL,ENTITY_STRUCTURE,STATE_OF INC,COUNTRY_OF_INC,0
141417,CLAYTON MANUFACTURING COMPANY,CLAYTON INDUSTRIES,17477 HURLEY ST,,CITY OF INDUSTRY,CA,91744,5106.0,USA,32.0,,2L,CA,usa,"['https://www.claytonindustries.com/', 'https://www.claytonhomes.com/', 'https://www.claytonoffroad.com/', 'https://en.wikipedia.org/wiki/Clayton_Homes', 'https://www.coursehero.com/file/11623535/HW-Sess3/', 'http://claytonlambert.com/about/clayton-lambert-history/', 'https://www.linkedin.com/company/clayton-industries', 'http://claytonlambert.com/', 'https://careers.claytonhomes.com/', 'http://www.claytonfixture.com/']"
141864,TEMPTRONIC CORPORATION,,41 HAMPDEN RD,,MANSFIELD,MA,2048.0,1807.0,USA,4.0,,2L,DE,usa,"['http://www.temptronic.com/', 'https://www.bostonglobe.com/metro/obituaries/2017/02/16/thomas-gerendas-holocaust-survivor-who-founded-temptronic-corp/wIB1LoY1zs57qpDAgg4AaK/story.html', 'http://www.temptronic.com/Aboutus/Aboutus_04.htm', 'https://www.linkedin.com/company/temptronic-corp', 'http://www.temptronic.com/Products/ProductSelector.htm', 'https://www.linkedin.com/company/temptronic-corporation', 'http://www.temptronic.com/Products/product_index.htm', 'http://www.intest.com/products/products_temptronic.htm', 'https://www.linkedin.com/company/intest', 'http://www.intest.com/']"
142085,"CUTLER REPAVING, INC.",,921 E 27TH ST,,LAWRENCE,KS,66046,4917.0,USA,2.0,,2L,DE,usa,"['http://www.cutlerrepaving.com/', 'https://www.linkedin.com/company/cutler-repaving-inc', 'http://www.cutlerrepaving.com/home.html', 'https://www.youtube.com/watch?v=0tqn5ZqOWb4', 'http://www.cutlerrepaving.com/contact.html', 'https://www.youtube.com/watch?v=0I8EDj-fmHI', 'http://www.cutlerrepaving.com/aboutus.html', 'https://www.facebook.com/pages/Cutler-Repaving-Inc/325526650924847', 'http://www2.ljworld.com/marketplace/businesses/cutler-repaving-inc/', 'https://www.youtube.com/watch?v=6JclvFFE1AM']"
142087,SEATS INCORPORATED,,1515 INDUSTRIAL ST,,REEDSBURG,WI,53959,2153.0,USA,2.0,,ZZ,WI,usa,"['http://www.seatsinc.com/', 'https://www.facebook.com/seatsreedsburg/', 'http://www.seatsinc.com/index.php/seat-models/highway-seating', 'http://www.industrialseats.com/vendor.asp?manufID=49', 'http://www.seatsinc.com/index.php/seat-models', 'https://www.linkedin.com/company/seats-inc.', 'http://www.seatsinc.com/index.php/employment-jobs-reedsburg-wi', 'http://www.seatinginc.com/', 'https://www.wmc.org/wp-content/uploads/HCBP-Seats.pdf', 'http://www.seatinginc.com/contact/']"
149655,"TOMAR ELECTRONICS, INC.",,2100 W OBISPO AVE,,GILBERT,AZ,85233,3401.0,USA,5.0,,2L,AZ,usa,"['https://www.tomar.com/', 'https://www.amazon.com/Tomar-Electronics-5001-Strobe-Replacement/dp/B006GEVGRK', 'https://www.tomar.com/products/', 'https://www.facebook.com/TOMARUSA/', 'https://www.linkedin.com/company/tomar-electronics', 'http://www.manta.com/c/mm2sdcx/tomar-electronics-inc', 'http://www.tomar-custom.com/', 'http://www.tomar.com/support/privacy.htm', 'http://www.rga-traffic.com/distributor-supplier-tomar-electronics-emergency-vehicle-traffic-control-systems.html', 'http://www.thomasnet.com/profile/00708909/tomar-electronics-inc.html']"
149789,"FUEL TECH, INC.",,27601 BELLA VISTA PKWY,,WARRENVILLE,IL,60555.0,1617.0,USA,6.0,,2L,DE,usa,"['https://www.ftek.com/en-US/', 'http://www.fueltech.net/', 'http://www.fueltech.com/', 'https://www.linkedin.com/company/fuel-tech-inc', 'http://www.google.com/finance?q=NASDAQ:FTEK', 'https://finance.yahoo.com/q?s=FTEK', 'http://www.marketwatch.com/investing/stock/ftek', 'https://seekingalpha.com/symbol/FTEK', 'https://stocktwits.com/symbol/FTEK', 'https://finance.yahoo.com/quote/FTEK/']"
149926,"EMP CONNECTORS, INC.",,548 AMAPOLA AVE,,TORRANCE,CA,90501,1472.0,USA,43.0,,2L,CA,usa,"['http://www.empconnectors.com/', 'https://github.com/forcedotcom/EMP-Connector', 'http://www.empconnectors.com/catalog.html', 'http://www.conesys.com/', 'http://www.empconnectors.com/contact.html', 'https://www.powell.com/content/Amphenol-EMI-EMP-Connectors-3100017692', 'http://www.aero-electric.com/', 'https://developer.salesforce.com/docs/atlas.en-us.api_streaming.meta/api_streaming/code_sample_java_emp_connector.htm', 'https://www.linkedin.com/company/conesys', 'http://www.aviadynamics.com/mfg/emp-connectors/']"
150145,DREXEL UNIVERSITY,OFFICE OF STUDENT ACCOUNTS,3141 CHESTNUT ST,,PHILADELPHIA,PA,19104,2816.0,USA,2.0,,ZZ,PA,usa,"['http://drexel.edu/', 'https://en.wikipedia.org/wiki/Drexel_University', 'https://online.drexel.edu/', 'https://www.usnews.com/best-colleges/drexel-university-3256', 'https://www.facebook.com/drexeluniv/', 'http://www.drexeldragons.com/', 'http://www.lebow.drexel.edu/', 'https://www.library.drexel.edu/', 'https://www.niche.com/colleges/drexel-university/', 'http://sacramento.drexel.edu/']"
155870,"HEI, INC.",,3800 VASSER DRIVE NE,,ALBUQUERQUE,NM,87107.0,2059.0,USA,1.0,,2L,NM,usa,"['http://heinm.com/', 'https://www.linkedin.com/company/hei-inc', 'http://www.hei.com/', 'https://www.glassdoor.com/Jobs/HEI-Jobs-E1465.htm', 'http://www.campo-nsn.gov/muhthei.html', 'http://www.google.com/finance?q=OTCMKTS:HEIIQ', 'http://www.law360.com/articles/608181/device-maker-hei-turns-to-ch-11-for-liquidation-sales', 'https://www.manta.com/c/mmfsrhs/hei-inc', 'http://www.mbbnet.umn.edu/company_folder/hei.html', 'http://highenergyinc.com/']"
156311,FILTER TECH INC.,,113 FAIRGROUNDS DR,,MANLIUS,NY,13104,2416.0,USA,24.0,,2J,NY,usa,"['https://www.filtertech.com/', 'http://www.filter-technology.com/', 'http://www.filtertechsystems.com/', 'https://www.filtertech.com/contact-us/', 'https://www.linkedin.com/company/filtertech-inc', 'https://www.facebook.com/FilterTechInc/', 'https://www.linkedin.com/company/filtertech-inc-', 'http://www.quickfiltertech.com/', 'https://www.linkedin.com/company/puradyn-filter-technologies-inc', 'http://www.marketwatch.com/investing/stock/pfti']"
156320,"PMS, INC.",PIPE METAL SALES,5210 STERN DR,,LAS CRUCES,NM,88001,7825.0,USA,2.0,,ZZ,NM,usa,"['http://p-m-s.com/', 'http://www.pms-nm.com/', 'https://www.facebook.com/PMS-INC-412104652257415/', 'http://www.pmsi.us/', 'http://www.pmsmetal.com/', 'https://www.yellowpages.com/riverton-wy/mip/pms-inc-23616453', 'http://pmsparking.net/', 'https://piedmontmaintenanceservices.com/contact.php', 'http://pms-i.com/', 'https://www.pmsinstrument.com/']"
156321,"CONTINENTAL MANUFACTURING, LLC",SOLAS RAY,1524 JACKSON ST,,ANDERSON,IN,46016,1621.0,USA,5.0,,2K,IN,usa,"['http://www.continentalcommercialproducts.com/', 'http://www.continentalmixers.com/', 'http://www.contmid.com/', 'http://www.sidingmfg.com/mainpage.html', 'https://www.linkedin.com/company/continental-manufacturing', 'https://en.wikipedia.org/wiki/Continental_AG', 'https://www.mississippi.org/general/continental-tire-the-americas-llc-breaks-ground-on-tire-manufacturing-plant-in-hinds-county/', 'http://marcosolutions.net/', 'http://www.continentaltire.com/', 'https://www.ustires.org/continental-tire-americas-llc']"
