Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id_x,patent_id,assignee_id,id_y,type,name_first,name_last,organization,compare_organization,DUNS,DUNS4,CAGE_CODE,DODAAC,LEGAL_BUSINESS_NAME,DBA_NAME,PHYSICAL_ADDRESS_LINE_1,PHYSICAL_ADDRESS_LINE_2,PHYSICAL_ADDRESS_CITY,PHYSICAL_ADDRESS_PROVINCE_OR_STATE,PHYSICAL_ADDRESS_ZIP,PHYSICAL_ADDRESS_ZIP4,PHYSICAL_ADDRESS_COUNTRY_CODE,ENTITY_CONGRESSIONAL_DISTRICT,CORPORATE_URL,ENTITY_STRUCTURE,STATE_OF INC,COUNTRY_OF_INC,BUSINESS_TYPE_COUNTER,BUSINESS_TYPES,PRIMARY_NAICS,NAICS_CODE_COUNTER,NAICS_CODES,PSC_CODE_COUNTER,PSC_CODES,SBA_BUSINESS_TYPES_COUNTER,SBA_BUSINESS_TYPES,compare_lbn,compare_dban
False,True,False,False,False,False,9200236,9200236,28fcb5a9ceedd00020295fa27575596b,28fcb5a9ceedd00020295fa27575596b,2,,,"Heliae Development, LLC","heliae development, llc",33670594,,67D64,,"HELIAE DEVELOPMENT, LLC",,614 E GERMANN RD STE 101,,GILBERT,AZ,85297,2934.0,USA,5.0,,2L,DE,usa,4.0,27~2X~LJ~VW,311119.0,3.0,311119Y~311225Y~325414Y,4.0,AA92~AD53~AE32~AG93,0.0,,"heliae development, llc",nan
False,True,False,False,False,False,9416336,9416336,28fcb5a9ceedd00020295fa27575596b,28fcb5a9ceedd00020295fa27575596b,2,,,"Heliae Development, LLC","heliae development, llc",33670594,,67D64,,"HELIAE DEVELOPMENT, LLC",,614 E GERMANN RD STE 101,,GILBERT,AZ,85297,2934.0,USA,5.0,,2L,DE,usa,4.0,27~2X~LJ~VW,311119.0,3.0,311119Y~311225Y~325414Y,4.0,AA92~AD53~AE32~AG93,0.0,,"heliae development, llc",nan
False,False,False,True,False,True,9214832,9214832,020a577da1cda91c6f501cfc1c6b70c3,020a577da1cda91c6f501cfc1c6b70c3,2,,,"Siemens Industry, Inc.","siemens industry, inc.",617221932,,3KWJ8,,"SIEMENS INDUSTRY, INC.",,215 SOUTHPORT DR STE 900,,MORRISVILLE,NC,27560,8452.0,USA,4.0,,2L,DE,usa,1.0,2X,334419.0,4.0,334419Y~334512Y~334513Y~335314Y,0.0,,0.0,,"siemens industry, inc.",nan
False,False,False,True,False,True,9214832,9214832,020a577da1cda91c6f501cfc1c6b70c3,020a577da1cda91c6f501cfc1c6b70c3,2,,,"Siemens Industry, Inc.","siemens industry, inc.",612806166,,1UQ31,,"SIEMENS INDUSTRY, INC.",SIEMENS BUILDING TECHNOLOGIES,5301 ROBIN HOOD RD STE 118,,NORFOLK,VA,23513,2419.0,USA,3.0,,2L,DE,usa,1.0,2X,236220.0,20.0,236220Y~238210Y~238220Y~238290Y~238990E~333414Y~333415Y~334220Y~334290Y~334512Y~334613Y~335314Y~335999Y~423390Y~423610Y~423690Y~541330E~541513Y~541519E~561621Y,10.0,1230~3625~4130~4931~6110~6115~6210~6350~J035~J041,0.0,,"siemens industry, inc.",siemens building technologies
False,False,False,True,False,True,9214832,9214832,020a577da1cda91c6f501cfc1c6b70c3,020a577da1cda91c6f501cfc1c6b70c3,2,,,"Siemens Industry, Inc.","siemens industry, inc.",131628971,,41387,,"SIEMENS INDUSTRY, INC.",SIEMENS ENERGY,1201 SUMNEYTOWN PIKE,,SPRING HOUSE,PA,19477,,USA,7.0,,2L,DE,usa,1.0,2X,334419.0,1.0,334419Y,0.0,,0.0,,"siemens industry, inc.",siemens energy
False,False,True,False,False,False,9222342,9222342,fc683520fac4667c1f5c67330c9200ee,fc683520fac4667c1f5c67330c9200ee,2,,,Chevron U.S.A. Inc.,chevron u.s.a. inc.,878879618,,8N017,,CHEVRON U.S.A. INC.,CHEVRON,6001 BOLLINGER CANYON RD,,SAN RAMON,CA,94583,2324.0,USA,15.0,,2L,DE,usa,1.0,2X,211111.0,1.0,211111Y,0.0,,0.0,,chevron u.s.a. inc.,chevron
False,True,False,False,False,False,9238783,9238783,fc683520fac4667c1f5c67330c9200ee,fc683520fac4667c1f5c67330c9200ee,2,,,Chevron U.S.A. Inc.,chevron u.s.a. inc.,878879618,,8N017,,CHEVRON U.S.A. INC.,CHEVRON,6001 BOLLINGER CANYON RD,,SAN RAMON,CA,94583,2324.0,USA,15.0,,2L,DE,usa,1.0,2X,211111.0,1.0,211111Y,0.0,,0.0,,chevron u.s.a. inc.,chevron
False,True,False,False,False,False,9267090,9267090,fc683520fac4667c1f5c67330c9200ee,fc683520fac4667c1f5c67330c9200ee,2,,,Chevron U.S.A. Inc.,chevron u.s.a. inc.,878879618,,8N017,,CHEVRON U.S.A. INC.,CHEVRON,6001 BOLLINGER CANYON RD,,SAN RAMON,CA,94583,2324.0,USA,15.0,,2L,DE,usa,1.0,2X,211111.0,1.0,211111Y,0.0,,0.0,,chevron u.s.a. inc.,chevron
False,True,False,False,False,False,9309452,9309452,fc683520fac4667c1f5c67330c9200ee,fc683520fac4667c1f5c67330c9200ee,2,,,Chevron U.S.A. Inc.,chevron u.s.a. inc.,878879618,,8N017,,CHEVRON U.S.A. INC.,CHEVRON,6001 BOLLINGER CANYON RD,,SAN RAMON,CA,94583,2324.0,USA,15.0,,2L,DE,usa,1.0,2X,211111.0,1.0,211111Y,0.0,,0.0,,chevron u.s.a. inc.,chevron
False,False,True,False,False,False,9371722,9371722,fc683520fac4667c1f5c67330c9200ee,fc683520fac4667c1f5c67330c9200ee,2,,,Chevron U.S.A. Inc.,chevron u.s.a. inc.,878879618,,8N017,,CHEVRON U.S.A. INC.,CHEVRON,6001 BOLLINGER CANYON RD,,SAN RAMON,CA,94583,2324.0,USA,15.0,,2L,DE,usa,1.0,2X,211111.0,1.0,211111Y,0.0,,0.0,,chevron u.s.a. inc.,chevron
False,False,True,False,False,False,9518438,9518438,fc683520fac4667c1f5c67330c9200ee,fc683520fac4667c1f5c67330c9200ee,2,,,Chevron U.S.A. Inc.,chevron u.s.a. inc.,878879618,,8N017,,CHEVRON U.S.A. INC.,CHEVRON,6001 BOLLINGER CANYON RD,,SAN RAMON,CA,94583,2324.0,USA,15.0,,2L,DE,usa,1.0,2X,211111.0,1.0,211111Y,0.0,,0.0,,chevron u.s.a. inc.,chevron
False,False,False,True,False,False,9241600,9241600,7f696b0583051ded6426c91208b0fdb0,7f696b0583051ded6426c91208b0fdb0,2,,,"GOJO Industries, Inc.","gojo industries, inc.",4162038,,02905,,"GOJO INDUSTRIES, INC.",GOJO,1 GOJO PLZ STE 500,,AKRON,OH,44311,1085.0,USA,11.0,,2L,OH,usa,1.0,2X,325611.0,3.0,325611Y~325620Y~332999N,0.0,,0.0,,"gojo industries, inc.",gojo
False,False,False,True,False,False,9263519,9263519,6e73475e27331531c97598f8f953a2e6,6e73475e27331531c97598f8f953a2e6,2,,,Cornell University,cornell university,613809599,,58C97,,CORNELL UNIVERSITY,CORNELL COOPERATIVE EXTENSION,121 SECOND ST RM 1,,ORISKANY,NY,13424,3921.0,USA,22.0,,ZZ,NY,usa,2.0,1D~2U,926140.0,2.0,611710Y~926140 ,0.0,,0.0,,cornell university,cornell cooperative extension
False,True,False,False,False,False,9518248,9518248,6e73475e27331531c97598f8f953a2e6,6e73475e27331531c97598f8f953a2e6,2,,,Cornell University,cornell university,613809599,,58C97,,CORNELL UNIVERSITY,CORNELL COOPERATIVE EXTENSION,121 SECOND ST RM 1,,ORISKANY,NY,13424,3921.0,USA,22.0,,ZZ,NY,usa,2.0,1D~2U,926140.0,2.0,611710Y~926140 ,0.0,,0.0,,cornell university,cornell cooperative extension
False,False,False,True,False,False,9287801,9287801,ab64c84bbdedcec918ddf2e0119cfb5a,ab64c84bbdedcec918ddf2e0119cfb5a,3,,,"Delta Electronics, Inc.","delta electronics, inc.",37964954,,048J3,,"DELTA ELECTRONICS, INC.",DELTA MEDIA SYSTEMS,219 CLINTON BLVD,,CLINTON,MS,39056,5119.0,USA,2.0,,2L,MS,usa,2.0,2X~VW,334310.0,3.0,334310Y~541512Y~811211Y,0.0,,0.0,,"delta electronics, inc.",delta media systems
False,False,False,True,False,False,9300225,9300225,ab64c84bbdedcec918ddf2e0119cfb5a,ab64c84bbdedcec918ddf2e0119cfb5a,3,,,"Delta Electronics, Inc.","delta electronics, inc.",37964954,,048J3,,"DELTA ELECTRONICS, INC.",DELTA MEDIA SYSTEMS,219 CLINTON BLVD,,CLINTON,MS,39056,5119.0,USA,2.0,,2L,MS,usa,2.0,2X~VW,334310.0,3.0,334310Y~541512Y~811211Y,0.0,,0.0,,"delta electronics, inc.",delta media systems
False,False,False,True,False,False,9306471,9306471,ab64c84bbdedcec918ddf2e0119cfb5a,ab64c84bbdedcec918ddf2e0119cfb5a,3,,,"Delta Electronics, Inc.","delta electronics, inc.",37964954,,048J3,,"DELTA ELECTRONICS, INC.",DELTA MEDIA SYSTEMS,219 CLINTON BLVD,,CLINTON,MS,39056,5119.0,USA,2.0,,2L,MS,usa,2.0,2X~VW,334310.0,3.0,334310Y~541512Y~811211Y,0.0,,0.0,,"delta electronics, inc.",delta media systems
False,False,False,True,False,False,9337771,9337771,ab64c84bbdedcec918ddf2e0119cfb5a,ab64c84bbdedcec918ddf2e0119cfb5a,3,,,"Delta Electronics, Inc.","delta electronics, inc.",37964954,,048J3,,"DELTA ELECTRONICS, INC.",DELTA MEDIA SYSTEMS,219 CLINTON BLVD,,CLINTON,MS,39056,5119.0,USA,2.0,,2L,MS,usa,2.0,2X~VW,334310.0,3.0,334310Y~541512Y~811211Y,0.0,,0.0,,"delta electronics, inc.",delta media systems
