Emerging low carbon-Additional energy sources,Emerging low carbon-All-purpose,Emerging low carbon-Alternative fuel,Emerging low carbon-Alternative fuel vehicle,Emerging low carbon-Battery,Emerging low carbon-Building technologies,Emerging low carbon-Carbon capture & storage,Emerging low carbon-Electrochemical processes,Emerging low carbon-Energy management,Environmental-Air pollution,Environmental-All-purpose,Environmental-Biological treatment,Environmental-Contaminated land reclamation & remediation,"Environmental-Environmental monitoring, instrumentation and analysis",Environmental-Marine pollution control,Environmental-Noise & vibration control,Environmental-Recovery and recycling,Environmental-Waste management,Environmental-Water supply & waste water treatment,General-,Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id_x,synbio-Bio Tech/Engg,synbio-Cell biology,synbio-Chemical,synbio-General,synbio-Genetics,synbio-Nano technology,patent_id,assignee_id,id_y,type,name_first,name_last,organization,compare_organization,DUNS,DUNS4,CAGE_CODE,DODAAC,LEGAL_BUSINESS_NAME,DBA_NAME,PHYSICAL_ADDRESS_LINE_1,PHYSICAL_ADDRESS_LINE_2,PHYSICAL_ADDRESS_CITY,PHYSICAL_ADDRESS_PROVINCE_OR_STATE,PHYSICAL_ADDRESS_ZIP,PHYSICAL_ADDRESS_ZIP4,PHYSICAL_ADDRESS_COUNTRY_CODE,ENTITY_CONGRESSIONAL_DISTRICT,CORPORATE_URL,ENTITY_STRUCTURE,STATE_OF INC,COUNTRY_OF_INC,BUSINESS_TYPE_COUNTER,BUSINESS_TYPES,PRIMARY_NAICS,NAICS_CODE_COUNTER,NAICS_CODES,PSC_CODE_COUNTER,PSC_CODES,SBA_BUSINESS_TYPES_COUNTER,SBA_BUSINESS_TYPES,compare_lbn,compare_dban
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9234195,False,False,False,True,True,False,9234195,0dcc01598493a1670f80bfdfa55173f8,0dcc01598493a1670f80bfdfa55173f8,2,,,"APPLIED STEMCELL, INC.","applied stemcell, inc.",956538677,,5NEY8,,"APPLIED STEMCELL, INC.",,521 COTTONWOOD DR STE 111,,MILPITAS,CA,95035,7467.0,USA,17.0,,2L,CA,usa,4.0,2X~FR~VW~XS,541711.0,1.0,541711Y,0.0,,0.0,,"applied stemcell, inc.",nan
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9249243,False,False,False,False,True,False,9249243,b7dbbdfe32b97f40f15a599e45797ca6,b7dbbdfe32b97f40f15a599e45797ca6,2,,,"Sarepta Therapeutics, Inc.","sarepta therapeutics, inc.",141886395,,49WU1,,"SAREPTA THERAPEUTICS, INC.",,4575 SW RESEARCH WAY STE 200,,CORVALLIS,OR,97333,1299.0,USA,4.0,,2L,OR,usa,1.0,2X,541711.0,2.0,325412Y~541711Y,2.0,AN11~AN13,0.0,,"sarepta therapeutics, inc.",nan
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9382536,False,False,False,False,True,False,9382536,b7dbbdfe32b97f40f15a599e45797ca6,b7dbbdfe32b97f40f15a599e45797ca6,2,,,"Sarepta Therapeutics, Inc.","sarepta therapeutics, inc.",141886395,,49WU1,,"SAREPTA THERAPEUTICS, INC.",,4575 SW RESEARCH WAY STE 200,,CORVALLIS,OR,97333,1299.0,USA,4.0,,2L,OR,usa,1.0,2X,541711.0,2.0,325412Y~541711Y,2.0,AN11~AN13,0.0,,"sarepta therapeutics, inc.",nan
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9394323,False,False,False,False,True,False,9394323,b7dbbdfe32b97f40f15a599e45797ca6,b7dbbdfe32b97f40f15a599e45797ca6,2,,,"Sarepta Therapeutics, Inc.","sarepta therapeutics, inc.",141886395,,49WU1,,"SAREPTA THERAPEUTICS, INC.",,4575 SW RESEARCH WAY STE 200,,CORVALLIS,OR,97333,1299.0,USA,4.0,,2L,OR,usa,1.0,2X,541711.0,2.0,325412Y~541711Y,2.0,AN11~AN13,0.0,,"sarepta therapeutics, inc.",nan
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9416361,False,False,False,False,True,False,9416361,b7dbbdfe32b97f40f15a599e45797ca6,b7dbbdfe32b97f40f15a599e45797ca6,2,,,"Sarepta Therapeutics, Inc.","sarepta therapeutics, inc.",141886395,,49WU1,,"SAREPTA THERAPEUTICS, INC.",,4575 SW RESEARCH WAY STE 200,,CORVALLIS,OR,97333,1299.0,USA,4.0,,2L,OR,usa,1.0,2X,541711.0,2.0,325412Y~541711Y,2.0,AN11~AN13,0.0,,"sarepta therapeutics, inc.",nan
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9499583,False,False,False,False,True,False,9499583,b7dbbdfe32b97f40f15a599e45797ca6,b7dbbdfe32b97f40f15a599e45797ca6,2,,,"Sarepta Therapeutics, Inc.","sarepta therapeutics, inc.",141886395,,49WU1,,"SAREPTA THERAPEUTICS, INC.",,4575 SW RESEARCH WAY STE 200,,CORVALLIS,OR,97333,1299.0,USA,4.0,,2L,OR,usa,1.0,2X,541711.0,2.0,325412Y~541711Y,2.0,AN11~AN13,0.0,,"sarepta therapeutics, inc.",nan
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9259759,True,False,False,False,False,False,9259759,6e73475e27331531c97598f8f953a2e6,6e73475e27331531c97598f8f953a2e6,2,,,Cornell University,cornell university,613809599,,58C97,,CORNELL UNIVERSITY,CORNELL COOPERATIVE EXTENSION,121 SECOND ST RM 1,,ORISKANY,NY,13424,3921.0,USA,22.0,,ZZ,NY,usa,2.0,1D~2U,926140.0,2.0,611710Y~926140 ,0.0,,0.0,,cornell university,cornell cooperative extension
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9265842,False,False,False,False,True,False,9265842,6e73475e27331531c97598f8f953a2e6,6e73475e27331531c97598f8f953a2e6,2,,,Cornell University,cornell university,613809599,,58C97,,CORNELL UNIVERSITY,CORNELL COOPERATIVE EXTENSION,121 SECOND ST RM 1,,ORISKANY,NY,13424,3921.0,USA,22.0,,ZZ,NY,usa,2.0,1D~2U,926140.0,2.0,611710Y~926140 ,0.0,,0.0,,cornell university,cornell cooperative extension
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9556446,False,False,False,False,True,False,9556446,6e73475e27331531c97598f8f953a2e6,6e73475e27331531c97598f8f953a2e6,2,,,Cornell University,cornell university,613809599,,58C97,,CORNELL UNIVERSITY,CORNELL COOPERATIVE EXTENSION,121 SECOND ST RM 1,,ORISKANY,NY,13424,3921.0,USA,22.0,,ZZ,NY,usa,2.0,1D~2U,926140.0,2.0,611710Y~926140 ,0.0,,0.0,,cornell university,cornell cooperative extension
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9267132,False,False,False,False,True,False,9267132,1fb35e696fda345ae9047c5522829fff,1fb35e696fda345ae9047c5522829fff,2,,,"Synthetic Genomics, Inc.","synthetic genomics, inc.",623775660,,5CCQ9,,"SYNTHETIC GENOMICS, INC.",,11149 N TORREY PINES RD STE 100,,LA JOLLA,CA,92037,1031.0,USA,49.0,,2L,DE,usa,1.0,2X,541711.0,1.0,541711Y,0.0,,0.0,,"synthetic genomics, inc.",nan
