patent_id,NAICS_CODES
9198872,923110N
9198872,541712E~611310N
9198872,923110N
9198872,611310N
9198872,541380N~611310N
9198872,541712E~611310N
9198872,
9198872,
9198872,
9198872,
9394526,923110N
9394526,541712E~611310N
9394526,923110N
9394526,611310N
9394526,541380N~611310N
9394526,541712E~611310N
9394526,
9394526,
9394526,
9394526,
9198959,611310N
9198959,
9198959,
9198959,611310N
9198959,611310N
9198959,511199N~541380N~541611N~541620N~541712E~611310N~611430N
9198959,
9198959,541940N
9198959,
9198959,923110N
9198959,541380N~541611N~541620N~611310N~611430N
9198959,
9393257,611310N
9393257,
9393257,
9393257,611310N
9393257,611310N
9393257,511199N~541380N~541611N~541620N~541712E~611310N~611430N
9393257,
9393257,541940N
9393257,
9393257,923110N
9393257,541380N~541611N~541620N~611310N~611430N
9393257,
9199005,
9199005,541110N~541711N~541712E~541720N~611310N~621210N~712110N
9199005,611310N~621111N
9199005,611310N
9199005,611310N~621111N
9199005,611310N~621111N
9199005,611310N~621111N
9199005,
9199005,611310N
9255086,
9255086,541110N~541711N~541712E~541720N~611310N~621210N~712110N
9255086,611310N~621111N
9255086,611310N
9255086,611310N~621111N
9255086,611310N~621111N
9255086,611310N~621111N
9255086,
9255086,611310N
9395368,
9395368,541110N~541711N~541712E~541720N~611310N~621210N~712110N
9395368,611310N~621111N
9395368,611310N
9395368,611310N~621111N
9395368,611310N~621111N
9395368,611310N~621111N
9395368,
9395368,611310N
9410205,
9410205,541110N~541711N~541712E~541720N~611310N~621210N~712110N
9410205,611310N~621111N
9410205,611310N
9410205,611310N~621111N
9410205,611310N~621111N
9410205,611310N~621111N
9410205,
9410205,611310N
9464296,
9464296,541110N~541711N~541712E~541720N~611310N~621210N~712110N
9464296,611310N~621111N
9464296,611310N
9464296,611310N~621111N
9464296,611310N~621111N
9464296,611310N~621111N
9464296,
9464296,611310N
9539315,
9539315,541110N~541711N~541712E~541720N~611310N~621210N~712110N
9539315,611310N~621111N
9539315,611310N
9539315,611310N~621111N
9539315,611310N~621111N
9539315,611310N~621111N
9539315,
9539315,611310N
9551002,
9551002,541110N~541711N~541712E~541720N~611310N~621210N~712110N
9551002,611310N~621111N
9551002,611310N
9551002,611310N~621111N
9551002,611310N~621111N
9551002,611310N~621111N
9551002,
9551002,611310N
9200191,325211N~325320N
9200191,325211N
9200191,325220N
9200191,326199N
9200191,325212N~339991N
9200191,541712E
9200191,326113N
9200191,621511N
9200191,339999N
9200191,336413N
9200191,313230N
9200191,335931N
9200191,541611N
9200191,325211N
9200191,325211N
9212193,325211N~325320N
9212193,325211N
9212193,325220N
9212193,326199N
9212193,325212N~339991N
9212193,541712E
9212193,326113N
9212193,621511N
9212193,339999N
9212193,336413N
9212193,313230N
9212193,335931N
9212193,541611N
9212193,325211N
9212193,325211N
9273336,325211N~325320N
9273336,325211N
9273336,325220N
9273336,326199N
9273336,325212N~339991N
9273336,541712E
9273336,326113N
9273336,621511N
9273336,339999N
9273336,336413N
9273336,313230N
9273336,335931N
9273336,541611N
9273336,325211N
9273336,325211N
9284571,325211N~325320N
9284571,325211N
9284571,325220N
9284571,326199N
9284571,325212N~339991N
9284571,541712E
9284571,326113N
9284571,621511N
9284571,339999N
9284571,336413N
9284571,313230N
9284571,335931N
9284571,541611N
9284571,325211N
9284571,325211N
9422572,325211N~325320N
9422572,325211N
9422572,325220N
9422572,326199N
9422572,325212N~339991N
9422572,541712E
9422572,326113N
9422572,621511N
9422572,339999N
9422572,336413N
9422572,313230N
9422572,335931N
9422572,541611N
9422572,325211N
9422572,325211N
9441209,325211N~325320N
9441209,325211N
9441209,325220N
9441209,326199N
9441209,325212N~339991N
9441209,541712E
9441209,326113N
9441209,621511N
9441209,339999N
9441209,336413N
9441209,313230N
9441209,335931N
9441209,541611N
9441209,325211N
9441209,325211N
9447424,325211N~325320N
9447424,325211N
9447424,325220N
9447424,326199N
9447424,325212N~339991N
9447424,541712E
9447424,326113N
9447424,621511N
9447424,339999N
9447424,336413N
9447424,313230N
9447424,335931N
9447424,541611N
9447424,325211N
9447424,325211N
9499831,325211N~325320N
9499831,325211N
9499831,325220N
9499831,326199N
9499831,325212N~339991N
9499831,541712E
9499831,326113N
9499831,621511N
9499831,339999N
9499831,336413N
9499831,313230N
9499831,335931N
9499831,541611N
9499831,325211N
9499831,325211N
9499842,325211N~325320N
9499842,325211N
9499842,325220N
9499842,326199N
9499842,325212N~339991N
9499842,541712E
9499842,326113N
9499842,621511N
9499842,339999N
9499842,336413N
9499842,313230N
9499842,335931N
9499842,541611N
9499842,325211N
9499842,325211N
9546374,325211N~325320N
9546374,325211N
9546374,325220N
9546374,326199N
9546374,325212N~339991N
9546374,541712E
9546374,326113N
9546374,621511N
9546374,339999N
9546374,336413N
9546374,313230N
9546374,335931N
9546374,541611N
9546374,325211N
9546374,325211N
9556447,325211N~325320N
9556447,325211N
9556447,325220N
9556447,326199N
9556447,325212N~339991N
9556447,541712E
9556447,326113N
9556447,621511N
9556447,339999N
9556447,336413N
9556447,313230N
9556447,335931N
9556447,541611N
9556447,325211N
9556447,325211N
9556450,325211N~325320N
9556450,325211N
9556450,325220N
9556450,326199N
9556450,325212N~339991N
9556450,541712E
9556450,326113N
9556450,621511N
9556450,339999N
9556450,336413N
9556450,313230N
9556450,335931N
9556450,541611N
9556450,325211N
9556450,325211N
9587244,325211N~325320N
9587244,325211N
9587244,325220N
9587244,326199N
9587244,325212N~339991N
9587244,541712E
9587244,326113N
9587244,621511N
9587244,339999N
9587244,336413N
9587244,313230N
9587244,335931N
9587244,541611N
9587244,325211N
9587244,325211N
9200293,541690N~541712E~611310N
9200293,
9327056,541690N~541712E~611310N
9327056,
9491916,541690N~541712E~611310N
9491916,
9528115,541690N~541712E~611310N
9528115,
9200298,611310N
9233131,611310N
9273277,611310N
9279157,611310N
9297008,611310N
9309535,611310N
9315821,611310N
9353352,611310N
9382553,611310N
9409322,611310N
9428726,611310N
9441244,611310N
9457103,611310N
9458517,611310N
9499814,611310N
9500636,611310N
9505811,611310N
9518261,611310N
9539300,611310N
9550980,611310N
9556458,611310N
9587020,611310N
9587282,611310N
9202638,325211N~326113N
9202638,325199N~325211N~325510N~325998N~424690N~541712E
9202638,
9239051,325211N~326113N
9239051,325199N~325211N~325510N~325998N~424690N~541712E
9239051,
9548167,325211N~326113N
9548167,325199N~325211N~325510N~325998N~424690N~541712E
9548167,
9204624,325412N~541711N
9206261,325412N~541711N
9206262,325412N~541711N
9206263,325412N~541711N
9221894,325412N~541711N
9226484,325412N~541711N
9228208,325412N~541711N
9232776,325412N~541711N
9267152,325412N~541711N
9301509,325412N~541711N
9301510,325412N~541711N
9315843,325412N~541711N
9332742,325412N~541711N
9334333,325412N~541711N
9334334,325412N~541711N
9353394,325412N~541711N
9371553,325412N~541711N
9376699,325412N~541711N
9382567,325412N~541711N
9388446,325412N~541711N
9394373,325412N~541711N
9399683,325412N~541711N
9410163,325412N~541711N
9462794,325412N~541711N
9474255,325412N~541711N
9510569,325412N~541711N
9516868,325412N~541711N
