,0
0,Centre de Recherche Industrielle du Quebec
1,Shell Oil Company
2,Surebeam Corporation
3,Altex Technologies Corporation
4,Council of Scientific and Industrial Research
5,"Heliae Development, LLC"
6,NOVA PANGAEA TECHNOLOGIES LIMITED
7,"Renmatix, Inc."
8,Certain-teed Corporation
9,The Babcock & Wilcox Company
10,Ormat Technologies Inc.
11,"GlassPoint Solar, Inc."
12,"Coleman Cable, LLC"
13,Newdoll Enterprises LLC
14,"Samsung Electronics Co., Ltd."
15,"SunRun, Inc."
16,Solaire Generation LLC
17,NATIONAL TSING HUA UNIVERSITY
18,"Varian Semiconductor Equipment Associates, Inc."
19,International Business Machines Corporation
20,LG Electronics Inc.
21,National Cheng Kung University
22,FUJIFILM Corporation
23,SunPower Corporation
24,Purdue Research Foundation
25,The United States of America as represented by the Secretary of Agriculture
26,Georgia Tech Research Corporation
27,"SOLAZYME, INC."
28,Wisconsin Alumni Research Foundation
29,"Mitsubishi Polyester Film, LLC"
30,East China University of Science and Technology
31,SOLENA FUELS CORPORATION
32,KINO LLC
33,"HM3 Energy, Inc."
34,"Xyleco, Inc."
35,E. Tech Incorporation
36,Stellenbosch University
37,Board of Trustees of Michigan State University
38,Butamax(TM) Advanced Biofuels LLC
39,O.B.I. Inc.
40,"Taxon Biosciences, Inc."
41,"Great American Duck Races, Inc."
42,"Hitachi, Ltd."
43,"Gram Power, Inc."
44,"MICROSOFT TECHNOLOGY LICENSING, LLC"
45,Sharp Kabushiki Kaisha
46,E. I. du Pont de Nemours and Company
47,"Ube Industries, Ltd."
48,"Panasonic Intellectual Property Management Co., Ltd."
49,"Hon Hai Precision Industry Co., Ltd."
50,Tsinghua University
51,The Regents of the University of California
52,"Applied Materials, Inc."
53,"BOE Technology Group Co., Ltd."
54,Peking University
55,BASF SE
56,"LAVA ENERGY SYSTEMS, INC."
57,"Renewable Power Conversion, Inc."
58,"Envision Solar International, Inc."
59,SolarCity Corporation
60,Sandia Corporation
61,"Virent, Inc."
62,"Avello Bioenery, Inc."
63,Lockheed Martin Corporation
64,University of Washington through its Center for Commercialization
65,Solar Junction Corporation
66,"Solexa, Inc."
67,SolAero Technologies Corp.
68,Phillips 66 Company
69,"Solarmer Energy, Inc."
70,"Siemens Industry, Inc."
71,Omron Corporation
72,"PetraSolar, Inc."
73,"Shin-Etsu Chemical Co., Ltd."
74,"Cool Planet Energy Systems, Inc."
75,AMERICAN BIO ENERGY CONVERTING CORP.
76,"MBC Ventures, Inc."
77,SAE Magnetics (HK) Ltd.
78,"Tigo Energy, Inc."
79,"University of Florida Research Foundation, Inc."
80,Sony Corporation
81,"NXP, B.V."
82,"Neutronic Perpetual Innovations, LLC"
