,0
0,National Cheng Kung University
1,"BIND Therapeutics, Inc."
2,"Marine Polymer Technologies, Inc."
3,Kent State University
4,Baker Hughes Incorporated
5,NanoGram Corporation
6,DuPont Teijin Films U.S. Limited Partnership
7,Eastman Kodak Company
8,"Advanced Water Technology, Inc."
9,"Nanosys, Inc."
10,The Trustees of Columbia University in the City of New York
11,The University of Chicago
12,Toray Industries Inc. 
13,ExxonMobil Chemical Patents Inc.
14,CITY UNIVERSITY OF HONG KONG
15,Korea Institute of Science and Technology
16,Brown University
17,"Saint-Gobain Adfors Canada, Ltd"
18,Bioneer Corporation
19,"Fuji Electric Co., Ltd."
20,The United States of America as represented by the Secretary of the Navy
21,"Becton, Dickinson and Company"
22,International Business Machines Corporation
23,Seiko Epson Corporation
24,"Samsung Electronics Co., Ltd."
25,"Semiconductor Energy Laboratory Co., Ltd."
26,"Shin-Etsu Chemical Co., Ltd."
27,"Newlans, Inc."
28,Silicon Space Technology Corp.
29,FUJIFILM Corporation
30,"SAMSUNG DISPLAY CO., LTD."
31,Kabushikikaisha Toshiba
32,SK Hynix Inc.
33,"Taiwan Semiconductor Manufacturing Company, Ltd."
34,SanDisk Technologies LLC
35,NATIONAL TSING HUA UNIVERSITY
36,"UChicago Argonne, LLC"
37,"Pixelligent Technologies, LLC"
38,"Micron Technology, Inc."
39,"Cree, Inc."
40,Tokyo Electron Limited
41,"Plasma-Therm, Inc."
42,Fujitsu Semiconductor Limited
43,Semiconductor Manufacturing International (Shanghai) Corporation
44,"Macronix International Co., Ltd."
45,Canon Kabushiki Kaisha
46,Sony Corporation
47,The Arizona Board of Regents
48,"Advanced Silicon Group, Inc."
49,"BOE Technology Group Co., Ltd."
50,"Quantum Devices, Inc."
51,Mitsubishi Electric Corporation
52,UNISANTIS ELECTRONICS SINGAPORE PTE. LTD.
53,"Kobe Steel, Limited"
54,JOLED Inc.
55,Conversant Intellectual Property Management Inc.
56,Alpha and Omega Semiconductor Incorporated
57,"Hon Hai Precision Industry Co., Ltd."
58,Tsinghua University
59,Nokia Technologies Oy
60,"Panasonic Intellectual Property Management Co., Ltd."
61,Corning Incorporated
62,"Stanley Electric Co., Ltd."
63,Purdue Research Foundation
64,The United States of America as represented by the Secretary of Agriculture
65,Georgia Tech Research Corporation
66,"Nanotek Instruments, Inc."
67,Hyundai Motor Company
68,Korea Advanced Institute of Science and Technology
69,Kia Motors Corporation 
70,Toyota Jidosha Kabushiki Kaisha
71,Commonwealth Scientific & Industrial Research Organization
72,Electronics and Telecommunications Research Institute
73,"Inphenix, Inc."
74,"Calient Technologies, Inc."
75,Schlumberger Technology Corporation
76,"Avon Products, Inc."
77,GENERAL ELECTRIC COMPANY
78,Commissariat a l'Energie Atomique
79,University of Southern California
80,Compagnie Generale des Etablissements Michelin
81,Michelin Recherche et Technique S.A.
82,Commissariat a l'Energie Atomique et aux Energies Alternatives
83,"Nanoco Technologies, Ltd."
84,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
85,Rhodia Operations
86,Ricoh Company Limited
87,University of Pittsburghof the Commonwealth System of Higher Education
88,Dow Global Technologies Inc.
89,3M Innovative Properties Company
90,East China University of Science and Technology
91,Fred Hutchinson Cancer Research Center
92,University of Kentucky Research Foundation
93,New York University
94,Yale University
95,BASF SE
96,"Bechtel Hydrocarbon Technology Solutions, Inc."
97,Rosemount Aerospace Inc. 
98,Trustees of Princeton University
99,"QD Vision, Inc."
100,"Aurrion, Inc."
101,Renesas Electronics Corporation
102,Zeno Semiconductor Inc
103,Tyco Electronics U.K. LTD
104,DSP Group LTD.
105,Sharp Kabushiki Kaisha
106,"Shenzhen China Star Optoelectronics Technology Co., Ltd"
107,"NLT TECHNOLOGIES, LTD."
108,Fujitsu Limited
109,SunEdison Semiconductor Limited
110,"Freescale Semiconductor, Inc."
111,Intel Corporation
112,The Ohio State University
113,"Hitachi Metals, Ltd."
114,STMicroelectronics S.A.
115,"DRS Network & Imaging Systems, LLC"
116,"Applied Materials, Inc."
117,University of Washington through its Center for Commercialization
118,"Everspin Technologies, Inc."
119,California Institute of Technology
120,"Avalanche Technology, Inc."
121,E. I. du Pont de Nemours and Company duPont Displays Inc
122,Optodot Corporation
123,ASML Netherlands B.V.
124,"Soraa Laser Diode, Inc."
125,THE TRUSTEES OF DARTMOUTH COLLEGE
126,"Board of Regents, University of Texas System"
127,"Nanospectra Biosciences, Inc."
128,"Carbon3D, Inc."
129,"CUMMINS FILTRATION IP, INC."
130,Regents of the University of Minnesota
131,Cedar Ridge Research
132,"Kala Pharmaceuticals, Inc."
133,E. I. du Pont de Nemours and Company
134,"Tokyo Ohka Kogyo Co., Ltd."
135,"Molecular Rebar Design, LLC"
136,Council of Scientific and Industrial Research
137,Rohm and Haas Company
138,"nanoComposix, Inc."
139,"Sienna Labs, Inc."
140,"Singular Bio, Inc."
141,Swagelok Company
142,Sandia Corporation
143,Yamaha Corporation
144,"Gemex Systems, Inc."
145,adidas AG
146,JSR Corporation
147,Xerox Corporation
148,EMC Corporation
149,"MAXLINEAR, INC."
150,National Research Council of Canada
151,The Governors of the University of Alberta
152,Winbond Electronics Corp.
153,"NanoMech, Inc."
154,"Carver Scientific, Inc."
155,Lam Research Corporation
156,LGS Innovations LLC
157,FlashSilicon Incorporation
158,Hynix Semiconductor Inc.
159,"LG Display Co., Ltd."
160,NICHIA CORPORATION
161,Denso Corporation
162,"OSI Optoelectronics, Inc."
163,Oki Data Corporation
164,"University of Florida Research Foundation, Inc."
165,Peking University
166,The Regents of the University of California
167,Cooper Technologies Company
168,"University of Central Florida Research Foundation, Inc."
169,"Mallinckrodt, Inc."
170,NATIONAL INSTITUTE FOR MATERIALS SCIENCE
171,"PortaFire, Inc."
172,"SDCmaterials, Inc."
173,"Diamond Innovations, Inc."
174,"Toyota Motor Engineering & Manufacturing North America, Inc."
175,New Jersey Institute of Technology
176,The United States of America as represented by the Secretary of the Air Force
177,DIC Corporation
178,AC International Inc.
179,North Carolina State University
180,GLOBALFOUNDRIES Inc.
181,"Siemens Energy, Inc."
182,Infineon Technologies AG
183,FastCAP Systems Corporation
184,Invensas Corporation
185,Cornell University
186,SolarCity Corporation
187,CNRS
188,Koninklijke Philips N.V.
189,"Fuji Xerox Co., Ltd."
190,"Bruin Biometrics, LLC"
191,Drexel University
192,NANOPHARMACEUTICALS LLC
193,Achushnet Company
194,CERION LLC
195,"Canon U.S. Life Sciences, Inc."
196,NORTHWESTERN UNIVERSITY
197,"Furukawa Electric Co., Ltd."
198,"Guardian Industries, Inc."
199,Archer Daniels Midland Company
200,Toda Kogyo Corporation
201,"Kansai Paint Co., Ltd."
202,"Transilwrap Company, Inc."
203,"Pacific Biosciences of California, Inc."
204,"Sharp Laboratories of America, Inc."
205,"Sumitomo Electric Industries, Ltd."
206,Brother International Corporation
207,HGST NETHERLANDS B.V.
208,Brewer Science Inc.
209,Texas Instruments Incorporated
210,Microchip Technology Incorporated
211,The Board of Trustees of the University of Illinois
212,"PPG Industries Ohio, Inc."
