,0
0,University of Miami
1,The University of Chicago
2,Arizona Board of Regents on Behalf of the University of Arizona
3,Regents of the University of Minnesota
4,The Trustees of Columbia University in the City of New York
5,New York University
6,Rohm and Haas Company
7,"KAI Pharmaceuticals, Inc."
8,BAXALTA INCORPORATED
9,AbbVie Inc.
10,"Galectin Therapeutics, Inc."
11,E. I. du Pont de Nemours and Company
12,University of British Columbia
13,Washington State University
14,The Regents of the University of California
15,Roche Molecular Systems
16,Arkema Inc.
17,"Agrigenetics, Inc."
18,"Regeneron Pharmaceuticals, Inc."
19,THE TRUSTEES OF DARTMOUTH COLLEGE
20,Incept LLC
21,"Peytant Solutions, Inc."
22,Cadtrak Corporation
23,"Janssen Biotech, Inc."
24,"Auterra, Inc."
25,Wisconsin Alumni Research Foundation
26,Fred Hutchinson Cancer Research Center
27,University of Kentucky Research Foundation
28,Sigma-Aldrich Co. LLC
29,"Sangamo BioSciences, Inc."
30,"Sophoro Biotechnologies, LLC"
31,"DNA Twopointo, Inc."
32,E. Tech Incorporation
33,"UT-Battelle, LLC"
34,"Easel Biotechnologies, LLC"
35,"Alliance for Sustainable Energy, LLC"
36,Butamax(TM) Advanced Biofuels LLC
37,"The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc."
38,"Cadence Design Systems, Inc."
39,Palo Alto Research Center Incorporated
40,Johns Hopkins Univ. 
41,FUJIFILM Corporation
42,The Trustees of the University of Pennsylvania
43,Georgia Tech Research Corporation
44,"University of Central Florida Research Foundation, Inc."
45,Trustees of Tufts College
46,"Arisaph Pharmaceuticals, Inc."
47,Takeda Pharmaceutical Company Limited
48,"Gilead Connecticut, Inc."
49,INDIANA UNIVERSITY RESEARCH & TECHNOLOGY CORPORATION
50,"Tokyo Ohka Kogyo Co., Ltd."
51,Council of Scientific and Industrial Research
52,"Ansun Biopharma, Inc."
53,Monsanto Technology LLC
54,AgroFresh Inc.
55,GEN-PROBE INCORPORATED
56,"Intuitive Surgical Operations, Inc."
57,NORTHWESTERN UNIVERSITY
58,"MCI, Inc."
59,The Government of the United States as represented by the Secretary of the Department of Health and Human Services
60,COOK MEDICAL TECHNOLOGIES LLC
61,Abbott Cardiovascular Systems Inc.
62,Celanese International Corporation
63,National Research Council of Canada
64,"Yeda Research and Development Co., Ltd."
65,Massachusetts Institute of Technology
66,"Handylab, Inc."
67,Korea Research Institute of Bioscience and Biotechnology
68,Qiagen GmbH
69,International Business Machines Corporation
70,"Amazon Technologies, Inc."
71,Marine Biotech Inc.
72,Celanese Corporation
73,DISCOVERYBIOMED INC.
74,University of Pittsburghof the Commonwealth System of Higher Education
75,Two Blades Foundation
76,EMC Corporation
77,Korea Institute of Science and Technology
78,Dow AgroSciences LLC
79,The Board of Trustees of the Leland Stanford Junior University
80,Deutsches Krebsforschungszentrum Stiftung Des Offenlichen Rechts
81,Bridgestone Corporation
82,Dow Global Technologies Inc.
83,Archer Daniels Midland Company
84,"Alnylam Pharmaceuticals, Inc."
85,Bayer Cropscience AG
86,University of Utah Research Foundation
87,"Rutgers, The State University of New Jersey"
88,Life Technologies Corporation
89,"Virginia Tech Intellectual Properties, Inc."
90,Visa International Business Machines Corporation
91,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
92,"Sima Therapeutics, Inc."
93,Pfizer Inc.
94,Amgen Fremont Inc.
95,"Interez, Inc."
96,"APPLIED STEMCELL, INC."
97,"Intrexon CEU, Inc."
98,"System Biosciences, LLC"
99,Toyota Jidosha Kabushiki Kaisha
100,"SeQual Technologies, Inc."
101,"Bisco, Inc."
102,The University of North Carolina at Chapel Hill
103,"Novon, Inc."
104,"ACell, Inc."
105,University of Manitoba
106,Novozymes A/S
107,Syngenta Participations AG
108,"The Samuel Roberts Noble Foundation, Inc."
109,"PELLION TECHNOLOGIES, INC."
110,Assistance Pulique-Hôpitaux de Paris
111,Institut National de la Sante et de la Recherche Medicale (Inserm)
112,Boehringer Ingelheim International GmbH
113,"Joule Unlimited Technologies, Inc."
114,"S. C. Johnson & Son, Inc. "
115,Syracuse University
116,Pioneer Hi Bred International Inc
117,Commonwealth Scientific & Industrial Research Organization
118,Instron Corporation 
119,"VMware, Inc."
120,GLOBALFOUNDRIES Inc.
121,The University of Connecticut
122,"Previvo Genetics, LLC"
123,The United States of America as represented by the Secretary of Agriculture
124,UAB Research Foundation
125,"Texas Research International, Inc."
126,"GlaxoSmithKline Biologicals, S.A."
127,"Genentech, Inc."
128,RINAT NEUROSCIENCE CORP.
129,"Sarepta Therapeutics, Inc."
130,Carnegie Mellon University
131,"The Charles Stark Draper Laboratory, Inc."
132,"New England Biolabs, Inc."
133,BP Corporation North America Inc.
134,"University of Georgia Research Foundation, Inc."
135,Abbott Point of Care Inc.
136,"Agency for Science, Technology and Research"
137,"Board of Regents, University of Texas System"
138,"Red Hat, Inc."
139,The United States of America as represented by the Secretary of the Navy
140,"St. Jude Medical, Inc."
141,Tohoku University
142,University of Southern California
143,"University of Louisville Research Foundation, Inc."
144,Mayo Foundation for Medical Education and Research
145,SABIC GLOBAL TECHNOLOGIES B.V.
146,"Sumitomo Electric Industries, Ltd."
147,"Confluence Energy, LLC"
148,University of Washington 
149,Nvidia Corporation
150,"Gilead Sciences, Inc."
151,University of Massachusetts
152,"PluroGen Therapeutics, Inc."
153,Dow Technology Investments LLC
154,Cornell University
