Bio Tech/Engg,Cell biology,Chemical,General,Genetics,Nano technology,id_x,patent_id,assignee_id,id_y,type,name_first,name_last,organization
False,False,False,False,True,False,3931172,3931172,c674799b2a022fb788d3b75fbf3b14aa,c674799b2a022fb788d3b75fbf3b14aa,2,,,"Sandoz, Inc."
False,False,False,False,True,False,3931173,3931173,e3d2868230848776fe2e1bba46bd4353,e3d2868230848776fe2e1bba46bd4353,2,,,Richardson-Merrell Inc.
False,False,False,False,True,False,3931197,3931197,e3d2868230848776fe2e1bba46bd4353,e3d2868230848776fe2e1bba46bd4353,2,,,Richardson-Merrell Inc.
False,False,False,False,True,False,3931335,3931335,f10f4c799e7458d8d04963ba04d743fa,f10f4c799e7458d8d04963ba04d743fa,2,,,Crown Zellerbach Corporation
False,False,False,False,True,False,3932341,3932341,9d23705ee050ef089ef19bc5b9e3cb2d,9d23705ee050ef089ef19bc5b9e3cb2d,2,,,Novagard Corporation
False,False,False,False,True,False,3932456,3932456,e3d2868230848776fe2e1bba46bd4353,e3d2868230848776fe2e1bba46bd4353,2,,,Richardson-Merrell Inc.
False,False,True,False,False,False,3932652,3932652,1ee8fae2374654bcd82a1d668f50acde,1ee8fae2374654bcd82a1d668f50acde,2,,,Hoffmann-La Roche Inc.
False,False,False,False,True,False,3933751,3933751,7abdc1d3ad847b31eac633b44b9803ac,7abdc1d3ad847b31eac633b44b9803ac,2,,,Standard Oil Company (Indiana)
False,False,False,False,True,False,3933812,3933812,74784d324e565a397b4a2e6dbd6d8eff,74784d324e565a397b4a2e6dbd6d8eff,2,,,Millmaster Onyx Corporation
False,False,False,False,True,False,3933816,3933816,5dea6f4f893fe7f46109b06c2ac203fc,5dea6f4f893fe7f46109b06c2ac203fc,2,,,The Upjohn Company
False,False,False,False,True,False,3933861,3933861,d511ce02801fa5f3b63574d5224579aa,d511ce02801fa5f3b63574d5224579aa,2,,,Chevron Research Company
False,False,False,False,True,False,3933943,3933943,10b108b4ee97bab2304d092590c0bf7c,10b108b4ee97bab2304d092590c0bf7c,3,,,BASF Aktiengesellschaft
False,False,False,False,True,False,3934322,3934322,e9392087a873d8607cede39e8fbb26e6,e9392087a873d8607cede39e8fbb26e6,2,,,GENERAL ELECTRIC COMPANY
False,False,False,True,False,False,3934369,3934369,bfb477dfa75438d8f1cc616db84c5f01,bfb477dfa75438d8f1cc616db84c5f01,2,,,The University of Illinois Foundation
False,False,False,False,True,False,3935182,3935182,720a51ce088f4d433749ad3514f89328,720a51ce088f4d433749ad3514f89328,2,,,Sterling Drug Inc.
False,False,False,False,True,False,3935205,3935205,c803f9f062248280a7d7b8c32a3f2bcc,c803f9f062248280a7d7b8c32a3f2bcc,2,,,Givaudan Corporation
False,False,False,False,True,False,3936576,3936576,eeee25209ada2c99aa2b060a36309a63,eeee25209ada2c99aa2b060a36309a63,2,,,The Firestone Tire & Rubber Company
False,False,False,False,True,False,3937715,3937715,d8bef40b1fe4378272a6dda74244b1f4,d8bef40b1fe4378272a6dda74244b1f4,3,,,Hoechst Aktiengesellschaft
False,False,False,False,True,False,3937746,3937746,1a81425af473614275d40171dccf744f,1a81425af473614275d40171dccf744f,2,,,Petro-Tex Chemical Corporation
False,False,False,False,True,False,3939268,3939268,b66653d47d8e39f3a1d5c392ca5e3a1e,b66653d47d8e39f3a1d5c392ca5e3a1e,3,,,Boehringer Ingelheim GmbH
False,False,False,False,True,False,3939294,3939294,eeee25209ada2c99aa2b060a36309a63,eeee25209ada2c99aa2b060a36309a63,2,,,The Firestone Tire & Rubber Company
False,False,False,False,True,False,3940427,3940427,099c2e138f83bf0366539bddfda6b2e2,099c2e138f83bf0366539bddfda6b2e2,2,,,Union Carbide Corporation
False,False,False,False,True,False,3940549,3940549,091c71524084f13e4c8c8e078441192e,091c71524084f13e4c8c8e078441192e,2,,,Advance Coatings Co.
False,False,False,False,True,False,3941191,3941191,c825ffe952ff303a51c27d97c45a6ab4,c825ffe952ff303a51c27d97c45a6ab4,3,,,Deutsche Texaco Aktiengesellschaft
False,False,False,False,True,False,3941784,3941784,9fc16c01386581d36640bc4f20184023,9fc16c01386581d36640bc4f20184023,2,,,Monsanto Company
False,False,False,False,True,False,3941795,3941795,e3d2868230848776fe2e1bba46bd4353,e3d2868230848776fe2e1bba46bd4353,2,,,Richardson-Merrell Inc.
False,False,False,False,True,False,3944552,3944552,8c1812abd34ad2303b6ce64bc113d6ba,8c1812abd34ad2303b6ce64bc113d6ba,2,,,The Goodyear Tire & Rubber Company
False,False,False,False,True,False,3944604,3944604,9fc16c01386581d36640bc4f20184023,9fc16c01386581d36640bc4f20184023,2,,,Monsanto Company
False,False,False,False,True,False,3946022,3946022,e3d2868230848776fe2e1bba46bd4353,e3d2868230848776fe2e1bba46bd4353,2,,,Richardson-Merrell Inc.
False,False,False,False,True,False,3947467,3947467,7842d4a3c63f3eec2ded513ced2c398f,7842d4a3c63f3eec2ded513ced2c398f,2,,,Eli Lilly and Company
False,False,False,False,True,False,3947525,3947525,8907619f28f9161d0fd2a1f24b7712f1,8907619f28f9161d0fd2a1f24b7712f1,2,,,Allied Chemical Corporation
False,False,False,False,True,False,3948892,3948892,054d563b447b317f56d940f5e3dd7b39,054d563b447b317f56d940f5e3dd7b39,2,,,SmithKline Corporation
False,False,False,False,True,False,3948910,3948910,68f31ecdaa3b3827bbd64e60cd21d9da,68f31ecdaa3b3827bbd64e60cd21d9da,2,,,The Dow Chemical Company
False,False,False,False,True,False,3948911,3948911,2458e982109b40327f8f0797b4025ae0,2458e982109b40327f8f0797b4025ae0,2,,,Pfizer Inc.
False,False,False,False,True,False,3948962,3948962,9fc16c01386581d36640bc4f20184023,9fc16c01386581d36640bc4f20184023,2,,,Monsanto Company
False,False,False,False,True,False,3950224,3950224,847efd2bf73d2c7b1ef8f0ab27ba5054,847efd2bf73d2c7b1ef8f0ab27ba5054,2,,,Cetus Corporation
False,False,False,False,True,False,3950332,3950332,c674799b2a022fb788d3b75fbf3b14aa,c674799b2a022fb788d3b75fbf3b14aa,2,,,"Sandoz, Inc."
False,False,False,False,True,False,3950393,3950393,b66653d47d8e39f3a1d5c392ca5e3a1e,b66653d47d8e39f3a1d5c392ca5e3a1e,3,,,Boehringer Ingelheim GmbH
False,False,True,False,False,False,3950529,3950529,4feafd4008cda786423cf0d5e67791db,4feafd4008cda786423cf0d5e67791db,2,,,Massachusetts General Hospital
False,False,True,False,False,False,3950529,3950529,260192ea337ea443f2ef127b2e662195,260192ea337ea443f2ef127b2e662195,2,,,American Hospital Supply Corporation
False,False,False,False,True,False,3951960,3951960,720a51ce088f4d433749ad3514f89328,720a51ce088f4d433749ad3514f89328,2,,,Sterling Drug Inc.
False,False,False,False,True,False,3952014,3952014,e3d2868230848776fe2e1bba46bd4353,e3d2868230848776fe2e1bba46bd4353,2,,,Richardson-Merrell Inc.
False,False,False,False,True,False,3952064,3952064,f10f4c799e7458d8d04963ba04d743fa,f10f4c799e7458d8d04963ba04d743fa,2,,,Crown Zellerbach Corporation
False,False,False,False,True,False,3954595,3954595,1fd3554d50234cd6d2aef65819a56181,1fd3554d50234cd6d2aef65819a56181,2,,,The Lummus Company
False,False,False,False,True,False,3954749,3954749,099c2e138f83bf0366539bddfda6b2e2,099c2e138f83bf0366539bddfda6b2e2,2,,,Union Carbide Corporation
False,False,False,False,True,False,3954862,3954862,2458e982109b40327f8f0797b4025ae0,2458e982109b40327f8f0797b4025ae0,2,,,Pfizer Inc.
False,False,False,False,True,False,3955016,3955016,62683d3229beb15dfc00a7a7b53f12a3,62683d3229beb15dfc00a7a7b53f12a3,2,,,E. I. du Pont de Nemours and Company
False,False,False,False,True,False,3956242,3956242,e9392087a873d8607cede39e8fbb26e6,e9392087a873d8607cede39e8fbb26e6,2,,,GENERAL ELECTRIC COMPANY
False,False,False,True,False,False,3956275,3956275,e450c3134c698d02fe01fff6bfe8cd32,e450c3134c698d02fe01fff6bfe8cd32,2,,,Massachusetts Institute of Technology
